draft_year,draft_round,draft_pick_overall,player_name,draft_team,college,former_country,school_or_origin,origin_type,retained_after_preseason_flag,draft_date,source_url,draft_source_page,school,school_source,current_team_from_feed,draft_pick_in_round,current_feed_signed_flag,current_feed_waived_or_released_flag,traded_after_draft_in_feed_flag,preseason_retention_status,source,raw_text,transaction_id
2026,2,27,Inès Pitarch-Granel,Phoenix Mercury,,France,France,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Phoenix Mercury,12,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Phoenix Mercury drafted Inès Pitarch-Granel in the 2nd round (27th pick) of the 2026 WNBA Draft.,413a18d1718da56a5c
2026,2,28,Indya Nivar,Atlanta Dream,UNC,,UNC,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UNC,needs_school_join,Atlanta Dream,13,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Atlanta Dream drafted Indya Nivar in the 2nd round (28th pick) of the 2026 WNBA Draft.,ba24b70e2df5ac2edf
2026,2,29,Janiah Barker,Las Vegas Aces,Tennessee,,Tennessee,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Tennessee,needs_school_join,Las Vegas Aces,14,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Las Vegas Aces drafted Janiah Barker in the 2nd round (29th pick) of the 2026 WNBA Draft.,b8342c5e13daf71e35
2026,2,30,Darianna Littlepage-Buggs,Washington Mystics,Baylor,,Baylor,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Baylor,needs_school_join,Washington Mystics,15,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Washington Mystics drafted Darianna Littlepage-Buggs in the 2nd round (30th pick) of the 2026 WNBA Draft.,9c1d3b9ccc6168afd3
2026,3,31,Zee Spearman,Dallas Wings,Tennessee,,Tennessee,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Tennessee,needs_school_join,Dallas Wings,1,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Dallas Wings drafted Zee Spearman in the 3rd round (31st pick) of the 2026 WNBA Draft.,c493b5b793ecb05bed
2026,3,32,Tonie Morgan,Chicago Sky,Kentucky,,Kentucky,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Kentucky,needs_school_join,Chicago Sky,2,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Chicago Sky drafted Tonie Morgan in the 3rd round (32nd pick) of the 2026 WNBA Draft.,fd632b00527676160f
2026,3,33,Serah Williams,Connecticut Sun,UConn,,UConn,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,UConn,needs_school_join,Portland Fire,3,FALSE,FALSE,TRUE,traded_in_feed_no_signing_found,Basketball-Reference,The Connecticut Sun drafted Serah Williams in the 3rd round (33rd pick) of the 2026 WNBA Draft.,799d399c3fe178bc58
2026,3,34,Rori Harmon,Washington Mystics,Texas,,Texas,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Texas,needs_school_join,Washington Mystics,4,TRUE,FALSE,FALSE,signed_in_feed_not_final_preseason,Basketball-Reference,The Washington Mystics drafted Rori Harmon in the 3rd round (34th pick) of the 2026 WNBA Draft.,7cb496dd5f48c52b36
2026,3,35,Amelia Hassett,Los Angeles Sparks,Kentucky,,Kentucky,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Kentucky,needs_school_join,Los Angeles Sparks,5,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Los Angeles Sparks drafted Amelia Hassett in the 3rd round (35th pick) of the 2026 WNBA Draft.,e2613b6b518d0ce3c4
2026,3,36,Charlise Dunn,Toronto Tempo,Davidson,,Davidson,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Davidson,needs_school_join,Toronto Tempo,6,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Toronto Tempo drafted Charlise Dunn in the 3rd round (36th pick) of the 2026 WNBA Draft.,78fecb639c07606e10
2026,3,37,Taylor Bigby,Portland Fire,TCU,,TCU,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,TCU,needs_school_join,Connecticut Sun,7,FALSE,FALSE,TRUE,traded_in_feed_no_signing_found,Basketball-Reference,The Portland Fire drafted Taylor Bigby in the 3rd round (37th pick) of the 2026 WNBA Draft.,b6547a79ae0f72c64f
2026,3,38,Kokoro Tanaka,Golden State Valkyries,,Japan,Japan,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Golden State Valkyries,8,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Golden State Valkyries drafted Kokoro Tanaka in the 3rd round (38th pick) of the 2026 WNBA Draft.,d9935287a391faeea1
2026,3,39,Grace VanSlooten,Seattle Storm,Michigan State,,Michigan State,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Michigan State,needs_school_join,Seattle Storm,9,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Seattle Storm drafted Grace VanSlooten in the 3rd round (39th pick) of the 2026 WNBA Draft.,44069a8082fa34dd33
2026,3,40,Jessica Timmons,Indiana Fever,Alabama,,Alabama,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Alabama,needs_school_join,Indiana Fever,10,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Indiana Fever drafted Jessica Timmons in the 3rd round (40th pick) of the 2026 WNBA Draft.,a578ae15d26c95e95e
2026,3,41,Manuela Puoch,New York Liberty,,Australia,Australia,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,New York Liberty,11,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The New York Liberty drafted Manuela Puoch in the 3rd round (41st pick) of the 2026 WNBA Draft.,428548769efb97648d
2026,3,42,Eszter Ratkai,Phoenix Mercury,,Hungary,Hungary,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Phoenix Mercury,12,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Phoenix Mercury drafted Eszter Ratkai in the 3rd round (42nd pick) of the 2026 WNBA Draft.,bac7f4d75460ca6a13
2026,3,43,Kejia Ran,Atlanta Dream,,China,China,international_former,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,,needs_school_join,Atlanta Dream,13,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Atlanta Dream drafted Kejia Ran in the 3rd round (43rd pick) of the 2026 WNBA Draft.,a85342f7ae7b9010af
2026,3,44,Jordan Obi,Las Vegas Aces,Kentucky,,Kentucky,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Kentucky,needs_school_join,Las Vegas Aces,14,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Las Vegas Aces drafted Jordan Obi in the 3rd round (44th pick) of the 2026 WNBA Draft.,32c9c10da1a2717dc0
2026,3,45,Lani White,Minnesota Lynx,Utah,,Utah,college,,2026-04-13,https://www.basketball-reference.com/wnba/years/2026_transactions.html,https://www.basketball-reference.com/wnba/draft/2026.html,Utah,needs_school_join,Minnesota Lynx,15,FALSE,FALSE,FALSE,drafted_no_signing_in_current_feed,Basketball-Reference,The Minnesota Lynx drafted Lani White in the 3rd round (45th pick) of the 2026 WNBA Draft.,fcd68b5e259ea6fd00
