league,season,season_type,team_id,team_abbreviation,team_name,player_id,player_name,player_order,request_url,request_status,request_params,raw_path
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1629571,Morgan Bertsch,6,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,203822,Rebekah Gardner,11,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1641641,Robyn Parks,4,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1630113,Ruthy Hebard,13,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1631021,Sika Koné,7,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661329,CHI,Chicago Sky,1641667,Taylor Soule,10,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661329,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661329'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661329.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,203826,Alyssa Thomas,3,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1630043,Bernadett Hatar,13,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1628280,Brionna Jones,1,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,201886,DeWanna Bonner,5,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1630096,DiJonai Carrington,7,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1629485,Kristine Anigwe,12,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1630100,Lauren Cox,4,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1641665,Leigha Brown,2,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1641700,Liz Dixon,10,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1629567,Natisha Hiedeman,6,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1631135,Olivia Nelson-Ododa,8,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,204296,Rebecca Allen,11,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,203026,Tiffany Hayes,0,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661323,CON,Connecticut Sun,1630112,Tyasha Harris,9,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661323,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661323.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1629481,Arike Ogunbowale,9,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1641653,Ashley Joens,3,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1630386,Awak Kuier,10,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1630101,Crystal Dangerfield,1,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1628890,Diamond DeShields,12,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1631029,Jasmine Dickey,2,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1629480,Kalani Brown,4,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1641661,Lou Lopez Sénéchal,6,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1641652,Maddy Siegrist,11,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,203827,Natasha Howard,0,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,203824,Odyssey Sims,5,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1630149,Satou Sabally,8,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
wnba,2023,Regular Season,1611661321,DAL,Dallas Wings,1629479,Teaira McCowan,7,https://api.pbpstats.com/get-team-players-for-season?Season=2023&SeasonType=Regular+Season&TeamId=1611661321,200,"{'Season': 2023, 'SeasonType': 'Regular Season', 'TeamId': '1611661321'}",data/pbpstats_jobs/wnba_team_roster_history/raw/get-team-players-for-season/team_players__season-2023__season_type-Regular_Season__team_id-1611661321.json
