season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Kia Nurse,CHI,30,6-0,181,Connecticut,Canada,44,7.2,2.3,1.3,-16,1.80%,8.80%,16.50%,49.60%,9.90%
2025,Kiah Stokes,LVA,33,6-3,191,Connecticut,USA,40,1.1,3.6,0.4,-9,5.50%,21.90%,6.00%,40.40%,5.50%
2025,Kiana Williams,PHX,27,5-7,140,Stanford,USA,11,4.1,1,0.9,-14.8,0.00%,8.80%,19.80%,53.90%,19.20%
2025,Kierstan Bell,LVA,26,6-1,176,Florida Gulf Coast,USA,35,4.2,1.8,0.7,2.3,4.50%,9.20%,18.30%,45.50%,9.10%
2025,Kiki Iriafen,WAS,22,6-3,-,Southern California,,44,13.3,8.5,1.6,-4.1,10.40%,23.20%,23.10%,54.80%,11.10%
2025,Kitija Laksa,PHX,29,6-1,-,South Florida,Latvia,33,5.9,1.2,0.6,-7.6,1.60%,4.50%,14.40%,50.50%,5.60%
2025,Kyara Linskens,GSV,29,6-4,-,None,Belgium,4,1,1.5,0.3,14.8,3.30%,15.20%,10.60%,40.00%,5.90%
2025,Kyra Lambert,IND,29,5-9,-,Texas,USA,1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
2025,Laeticia Amihere,GSV,24,6-3,185,South Carolina,Canada,29,5.4,4.3,0.9,-1.2,9.10%,22.50%,19.70%,55.00%,13.60%
2025,Leila Lacan,CON,21,5-11,-,None,France,25,10.4,2.4,3.7,-0.5,2.60%,7.00%,18.50%,54.80%,23.90%
2025,Leonie Fiebich,NYL,26,6-4,-,None,Germany,37,8.7,3.5,1.7,7.2,2.40%,9.70%,12.70%,64.60%,9.70%
2025,Lexi Held,PHX,26,5-10,150,DePaul,USA,32,5.3,1.1,1.1,-6.9,2.20%,5.00%,18.20%,48.90%,13.50%
2025,Lexie Brown,SEA,31,5-9,162,Duke,USA,24,2.1,0.7,1,0.7,0.90%,6.60%,11.40%,48.70%,15.10%
