team,team_slug,view_mode,player,column,value,core_years
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Brionna Jones  This HTML5 audio player is not supported by your browser  $('#brionna-jones-pronounce-name-icon-55493').click(function (event) {  toggle_play_player_name_pronunciation('brionna-jones',55493)  });  $('#brionna-jones-pronounce-name-audio-55493').on('ended',function (event) {  pronounce_icon_not_playing('brionna-jones-pronounce-name-icon-55493',55493)  });",2028,"$1,050,000  $???,???  17.5%","2023, 2024"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Brionna Jones  This HTML5 audio player is not supported by your browser  $('#brionna-jones-pronounce-name-icon-55493').click(function (event) {  toggle_play_player_name_pronunciation('brionna-jones',55493)  });  $('#brionna-jones-pronounce-name-audio-55493').on('ended',function (event) {  pronounce_icon_not_playing('brionna-jones-pronounce-name-icon-55493',55493)  });",2029,UFA,"2023, 2024"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Naz Hillmon  This HTML5 audio player is not supported by your browser  $('#naz-hillmon-pronounce-name-icon-83282').click(function (event) {  toggle_play_player_name_pronunciation('naz-hillmon',83282)  });  $('#naz-hillmon-pronounce-name-audio-83282').on('ended',function (event) {  pronounce_icon_not_playing('naz-hillmon-pronounce-name-icon-83282',83282)  });",2026,"$840,000  12.0%  14.1%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Naz Hillmon  This HTML5 audio player is not supported by your browser  $('#naz-hillmon-pronounce-name-icon-83282').click(function (event) {  toggle_play_player_name_pronunciation('naz-hillmon',83282)  });  $('#naz-hillmon-pronounce-name-audio-83282').on('ended',function (event) {  pronounce_icon_not_playing('naz-hillmon-pronounce-name-icon-83282',83282)  });",2027,"$850,000  $???,???  12.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Naz Hillmon  This HTML5 audio player is not supported by your browser  $('#naz-hillmon-pronounce-name-icon-83282').click(function (event) {  toggle_play_player_name_pronunciation('naz-hillmon',83282)  });  $('#naz-hillmon-pronounce-name-audio-83282').on('ended',function (event) {  pronounce_icon_not_playing('naz-hillmon-pronounce-name-icon-83282',83282)  });",2028,"$860,000  $???,???  14.4%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Naz Hillmon  This HTML5 audio player is not supported by your browser  $('#naz-hillmon-pronounce-name-icon-83282').click(function (event) {  toggle_play_player_name_pronunciation('naz-hillmon',83282)  });  $('#naz-hillmon-pronounce-name-audio-83282').on('ended',function (event) {  pronounce_icon_not_playing('naz-hillmon-pronounce-name-icon-83282',83282)  });",2029,UFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Jordin Canada  This HTML5 audio player is not supported by your browser  $('#jordin-canada-pronounce-name-icon-22243').click(function (event) {  toggle_play_player_name_pronunciation('jordin-canada',22243)  });  $('#jordin-canada-pronounce-name-audio-22243').on('ended',function (event) {  pronounce_icon_not_playing('jordin-canada-pronounce-name-icon-22243',22243)  });",2026,"$650,000  9.3%  10.9%","2024, 2025"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Jordin Canada  This HTML5 audio player is not supported by your browser  $('#jordin-canada-pronounce-name-icon-22243').click(function (event) {  toggle_play_player_name_pronunciation('jordin-canada',22243)  });  $('#jordin-canada-pronounce-name-audio-22243').on('ended',function (event) {  pronounce_icon_not_playing('jordin-canada-pronounce-name-icon-22243',22243)  });",2027,"$650,000  $???,???  9.6%","2024, 2025"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Jordin Canada  This HTML5 audio player is not supported by your browser  $('#jordin-canada-pronounce-name-icon-22243').click(function (event) {  toggle_play_player_name_pronunciation('jordin-canada',22243)  });  $('#jordin-canada-pronounce-name-audio-22243').on('ended',function (event) {  pronounce_icon_not_playing('jordin-canada-pronounce-name-icon-22243',22243)  });",2028,UFA,"2024, 2025"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Angel Reese,2026,"$350,692  5.0%  5.9%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Angel Reese,2027,"$396,282  $???,???  5.8%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Angel Reese,2028,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Madina Okot,2026,"$289,133  4.1%  4.9%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Madina Okot,2027,"$300,698  $???,???  4.4%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Madina Okot,2028,"$330,768  $???,???  5.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Madina Okot,2029,"$373,768  $???,???  34.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Madina Okot,2030,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Te-Hina Paopao  This HTML5 audio player is not supported by your browser  $('#te-hina-paopao-pronounce-name-icon-9171').click(function (event) {  toggle_play_player_name_pronunciation('te-hina-paopao',9171)  });  $('#te-hina-paopao-pronounce-name-audio-9171').on('ended',function (event) {  pronounce_icon_not_playing('te-hina-paopao-pronounce-name-icon-9171',9171)  });",2026,"$277,500  4.0%  4.7%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Te-Hina Paopao  This HTML5 audio player is not supported by your browser  $('#te-hina-paopao-pronounce-name-icon-9171').click(function (event) {  toggle_play_player_name_pronunciation('te-hina-paopao',9171)  });  $('#te-hina-paopao-pronounce-name-audio-9171').on('ended',function (event) {  pronounce_icon_not_playing('te-hina-paopao-pronounce-name-icon-9171',9171)  });",2027,"$305,250  $???,???  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Te-Hina Paopao  This HTML5 audio player is not supported by your browser  $('#te-hina-paopao-pronounce-name-icon-9171').click(function (event) {  toggle_play_player_name_pronunciation('te-hina-paopao',9171)  });  $('#te-hina-paopao-pronounce-name-audio-9171').on('ended',function (event) {  pronounce_icon_not_playing('te-hina-paopao-pronounce-name-icon-9171',9171)  });",2028,"$344,933  $???,???  5.8%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Te-Hina Paopao  This HTML5 audio player is not supported by your browser  $('#te-hina-paopao-pronounce-name-icon-9171').click(function (event) {  toggle_play_player_name_pronunciation('te-hina-paopao',9171)  });  $('#te-hina-paopao-pronounce-name-audio-9171').on('ended',function (event) {  pronounce_icon_not_playing('te-hina-paopao-pronounce-name-icon-9171',9171)  });",2029,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Taylor Thierry  This HTML5 audio player is not supported by your browser  $('#taylor-thierry-pronounce-name-icon-2629').click(function (event) {  toggle_play_player_name_pronunciation('taylor-thierry',2629)  });  $('#taylor-thierry-pronounce-name-audio-2629').on('ended',function (event) {  pronounce_icon_not_playing('taylor-thierry-pronounce-name-icon-2629',2629)  });",2026,"$277,500  4.0%  4.7%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Taylor Thierry  This HTML5 audio player is not supported by your browser  $('#taylor-thierry-pronounce-name-icon-2629').click(function (event) {  toggle_play_player_name_pronunciation('taylor-thierry',2629)  });  $('#taylor-thierry-pronounce-name-audio-2629').on('ended',function (event) {  pronounce_icon_not_playing('taylor-thierry-pronounce-name-icon-2629',2629)  });",2027,"$305,250  $???,???  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Taylor Thierry  This HTML5 audio player is not supported by your browser  $('#taylor-thierry-pronounce-name-icon-2629').click(function (event) {  toggle_play_player_name_pronunciation('taylor-thierry',2629)  });  $('#taylor-thierry-pronounce-name-audio-2629').on('ended',function (event) {  pronounce_icon_not_playing('taylor-thierry-pronounce-name-icon-2629',2629)  });",2028,"$344,933  $???,???  5.8%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Taylor Thierry  This HTML5 audio player is not supported by your browser  $('#taylor-thierry-pronounce-name-icon-2629').click(function (event) {  toggle_play_player_name_pronunciation('taylor-thierry',2629)  });  $('#taylor-thierry-pronounce-name-audio-2629').on('ended',function (event) {  pronounce_icon_not_playing('taylor-thierry-pronounce-name-icon-2629',2629)  });",2029,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Maite Cazorla,2026,"$277,500  4.0%  4.7%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Maite Cazorla,2027,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Stephanie Jones  This HTML5 audio player is not supported by your browser  $('#stephanie-jones-pronounce-name-icon-11540').click(function (event) {  toggle_play_player_name_pronunciation('stephanie-jones',11540)  });  $('#stephanie-jones-pronounce-name-audio-11540').on('ended',function (event) {  pronounce_icon_not_playing('stephanie-jones-pronounce-name-icon-11540',11540)  });",2026,"$277,500  4.0%  4.7%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"Stephanie Jones  This HTML5 audio player is not supported by your browser  $('#stephanie-jones-pronounce-name-icon-11540').click(function (event) {  toggle_play_player_name_pronunciation('stephanie-jones',11540)  });  $('#stephanie-jones-pronounce-name-audio-11540').on('ended',function (event) {  pronounce_icon_not_playing('stephanie-jones-pronounce-name-icon-11540',11540)  });",2027,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Sika Koné,2026,"$277,500  4.0%  4.7%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Sika Koné,2027,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Indya Nivar,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Indya Nivar,2027,"$288,600  $???,???  4.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Indya Nivar,2028,"$317,460  $???,???  5.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Indya Nivar,2029,"$358,730  $???,???  32.9%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Indya Nivar,2030,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Isobel Borlase,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Isobel Borlase,2027,"$288,600  $???,???  4.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Isobel Borlase,2028,"$317,460  $???,???  5.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Isobel Borlase,2029,"$358,730  $???,???  32.9%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Isobel Borlase,2030,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Bella Fontleroy,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Bella Fontleroy,2027,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Holly Winterburn,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Holly Winterburn,2027,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Laila Phelia,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Laila Phelia,2027,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Sacha Washington,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Sacha Washington,2027,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Lorela Cubaj,2026,Reserved,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Salaries  (excl. TC & D),2026,"$5,955,692",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Salaries  (excl. TC & D),2027,"$6,774,680",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Salaries  (excl. TC & D),2028,"$5,985,554",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Salaries  (excl. TC & D),2029,"$1,091,228",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Salaries  (excl. TC & D),2030,$0,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Players  (excl. TC & D),2026,9,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Players  (excl. TC & D),2027,11,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Players  (excl. TC & D),2028,9,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Players  (excl. TC & D),2029,3,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Players  (excl. TC & D),2030,0,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Cap Room,2026,"$1,044,308",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Open Roster Slots,2026,3,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Guaranteed Salary,2026,"$4,780,000",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Guaranteed Salary,2027,"$5,286,282",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Guaranteed Salary,2028,"$4,330,000",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Guaranteed Salary,2029,$0,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Guaranteed Salary,2030,$0,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Protected Veterans,2026,5,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Protected Veterans,2027,5,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Protected Veterans,2028,4,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Protected Veterans,2029,0,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Total Protected Veterans,2030,0,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Open Protected Veteran Slots,2026,2,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Core Player,2026,A. Gray,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Core Player,2027,A. Gray,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Core Player,2028,A. Gray,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Unsigned Draftees,2026,Unsigned Draftees,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Kejia Ran,2026,"$270,000  3.9%  4.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Kejia Ran,2027,"$288,600  $???,???  4.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Kejia Ran,2028,"$317,460  $???,???  5.3%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Kejia Ran,2029,"$358,730  $???,???  32.9%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Kejia Ran,2030,RFA,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 2 Pick ? (?) (ATL),2027,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 2 Pick ? (?) (ATL),2028,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 2 Pick ? (?) (ATL),2029,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 2 Pick ? (?) (ATL),2030,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 3 Pick ? (?) (ATL),2027,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 3 Pick ? (?) (ATL),2028,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 3 Pick ? (?) (ATL),2029,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,2027 Round 3 Pick ? (?) (ATL),2030,"$??,???  $??,???  $??,???",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Salary Cap,2026,"$7,000,000",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Roster Size Requirement,2026,12,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Maximum Protected Veterans,2026,7,
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Supermaximum,2026,"$1,400,000",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Maximum,2026,"$1,190,000",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (0 YOS),2026,"$270,000",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (1 YOS),2026,"$277,500",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (2 YOS),2026,"$277,500",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (3 YOS),2026,"$277,500",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (4-6 YOS),2026,"$277,500",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (7-9 YOS),2026,"$277,500",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,Player Minimum (10+ YOS),2026,"$277,500",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,salary,"All values shown reflect cap hit, not base salary.",2026,"All values shown reflect cap hit, not base salary.",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,pct_cap,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-35027').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',35027)  });  $('#allisha-gray-pronounce-name-audio-35027').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-35027',35027)  });",2026,"$1,190,000  17.0%  20.0%","2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,pct_cap,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-35027').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',35027)  });  $('#allisha-gray-pronounce-name-audio-35027').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-35027',35027)  });",2027,"$1,240,000  $???,???  18.3%","2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,pct_cap,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-35027').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',35027)  });  $('#allisha-gray-pronounce-name-audio-35027').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-35027',35027)  });",2028,"$1,270,000  $???,???  21.2%","2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,pct_cap,"Allisha Gray  This HTML5 audio player is not supported by your browser  $('#allisha-gray-pronounce-name-icon-35027').click(function (event) {  toggle_play_player_name_pronunciation('allisha-gray',35027)  });  $('#allisha-gray-pronounce-name-audio-35027').on('ended',function (event) {  pronounce_icon_not_playing('allisha-gray-pronounce-name-icon-35027',35027)  });",2029,UFA,"2026, 2027, 2028"
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,pct_cap,"Rhyne Howard  This HTML5 audio player is not supported by your browser  $('#rhyne-howard-pronounce-name-icon-90533').click(function (event) {  toggle_play_player_name_pronunciation('rhyne-howard',90533)  });  $('#rhyne-howard-pronounce-name-audio-90533').on('ended',function (event) {  pronounce_icon_not_playing('rhyne-howard-pronounce-name-icon-90533',90533)  });",2026,"$1,100,000  15.7%  18.5%",
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,pct_cap,"Rhyne Howard  This HTML5 audio player is not supported by your browser  $('#rhyne-howard-pronounce-name-icon-90533').click(function (event) {  toggle_play_player_name_pronunciation('rhyne-howard',90533)  });  $('#rhyne-howard-pronounce-name-audio-90533').on('ended',function (event) {  pronounce_icon_not_playing('rhyne-howard-pronounce-name-icon-90533',90533)  });",2027,"$1,125,000  $???,???  16.6%",
