Player_Name,Position_full,Position,Number,Team,Height,College,Country
Jessica Shepard,Forward,F,15,Minnesota Lynx,6-4,Notre Dame,USA
Jewell Loyd,Guard,G,24,Las Vegas Aces,5-11,Notre Dame,USA
JJ Quinerly,Guard,G,11,Dallas Wings,5-8,West Virginia,USA
Jonquel Jones,Center,C,35,New York Liberty,6-6,George Washington,USA
Jordin Canada,Guard,G,3,Atlanta Dream,5-6,UCLA,USA
Joyner Holmes,Forward,F,TBD,,6-3,University of Texas at Austin,USA
Julie Allemand,Guard,G,20,Los Angeles Sparks,5-8,Castors Braine,Belgium
Julie Vanloo,Guard,G,35,Los Angeles Sparks,5-8,,Belgium
Kahleah Copper,Guard-Forward,"G, F",2,Phoenix Mercury,6-1,Rutgers,USA
Kaila Charles,Guard-Forward,"G, F",6,Golden State Valkyries,6-1,Maryland,USA
Kaitlyn Chen,Guard,G,2,Golden State Valkyries,5-9,UConn,USA
Kalani Brown,Center,C,21,Phoenix Mercury,6-7,Baylor,USA
Kamiah Smalls,Guard,G,TBD,,5-10,James Madison,USA
Kamilla Cardoso,Center,C,10,Chicago Sky,6-7,South Carolina,USA
Kariata Diaby,Center,C,TBD,,6-4,,Côte d'Ivoire
Karlie Samuelson,Guard,G,TBD,,6-0,Stanford,USA
Kate Martin,Guard,G,20,Golden State Valkyries,6-0,Iowa,USA
Kathryn Westbeld,Forward,F,24,Phoenix Mercury,6-3,Notre Dame,USA
Katie Lou Samuelson,Forward,F,33,Seattle Storm,6-3,UConn,USA
Kayla McBride,Guard,G,21,Minnesota Lynx,5-11,Notre Dame,USA
Kayla Thornton,Forward,F,5,Golden State Valkyries,6-1,Texas-El Paso,USA
Kelsey Mitchell,Guard,G,0,Indiana Fever,5-8,Ohio State,USA
Kelsey Plum,Guard,G,10,Los Angeles Sparks,5-8,Washington,USA
Kennedy Burke,Guard-Forward,"G, F",22,New York Liberty,6-1,UCLA,USA
Kia Nurse,Guard,G,11,Chicago Sky,6-0,UConn,Canada
Kiah Stokes,Center,C,41,Las Vegas Aces,6-3,UConn,USA
Kiana Williams,Guard,G,23,Phoenix Mercury,5-7,Stanford,USA
Kierstan Bell,Forward,F,1,Las Vegas Aces,6-1,FGCU,USA
Kiki Iriafen,Forward,F,44,Washington Mystics,6-3,USC,
Kitija Laksa,Guard,G,9,Phoenix Mercury,6-1,South Florida,Latvia
Kyara Linskens,Center,C,TBD,,6-4,,Belgium
Kyra Lambert,Guard,G,TBD,,5-9,Texas,USA
Laeticia Amihere,Forward,F,3,Golden State Valkyries,6-3,South Carolina,Canada
Leïla Lacan,Guard,G,47,Connecticut Sun,5-11,,France
Leonie Fiebich,Forward,F,13,New York Liberty,6-4,,Germany
Lexi Held,Guard,G,1,Phoenix Mercury,5-10,DePaul,USA
Lexie Brown,Guard,G,8,Seattle Storm,5-9,Duke,USA
Lexie Hull,Guard,G,10,Indiana Fever,6-1,Stanford,USA
Li Yueru,Center,C,28,Dallas Wings,6-7,,China
Liatu King,Forward,F,TBD,,6-0,Notre Dame,
Lindsay Allen,Guard,G,15,Connecticut Sun,5-8,Notre Dame,USA
Lucy Olsen,Guard,G,33,Washington Mystics,5-10,Iowa,USA
Luisa Geiselsöder,Center,C,18,Dallas Wings,6-4,,Germany
Mackenzie Holmes,Forward,F,54,Seattle Storm,6-3,Indiana,USA
Maddy Siegrist,Forward,F,20,Dallas Wings,6-2,Villanova,USA
Maddy Westbeld,Forward,F,21,Chicago Sky,6-3,Notre Dame,USA
Madison Scott,Guard-Forward,"G, F",6,Washington Mystics,6-2,Mississippi,USA
Makayla Timpson,Forward-Center,"F, C",21,Indiana Fever,6-2,Florida State,USA
Mamignan Touré,Guard,G,28,Connecticut Sun,6-0,,
Maria Kliundikova,Forward,F,77,Minnesota Lynx,6-4,Dynamo Kursk,Russia
Marième Badiane,Center,C,TBD,,6-4,,France
Marina Mabrey,Guard,G,3,Connecticut Sun,5-11,Notre Dame,USA
Marine Johannès,Guard,G,23,New York Liberty,5-10,,France
Marquesha Davis,Guard,G,TBD,,6-0,Mississippi,USA
Maya Caldwell,Guard,G,33,Atlanta Dream,5-11,Georgia,USA
Megan Gustafson,Center,C,17,Las Vegas Aces,6-4,Iowa,USA
Megan McConnell,Guard,G,TBD,,5-7,Duquesne,USA
Mercedes Russell,Center,C,TBD,,6-6,Tennessee,USA
Michaela Onyenwere,Forward,F,12,Chicago Sky,6-0,UCLA,USA
Monique Akoa Makani,Guard,G,8,Phoenix Mercury,5-11,,Cameroon
Monique Billings,Forward,F,25,Golden State Valkyries,6-4,UCLA,USA
Moriah Jefferson,Guard,G,TBD,,5-6,UConn,USA
Murjanatu Musa,Forward,F,TBD,,6-0,,Nigeria
Myisha Hines-Allen,Forward,F,2,Dallas Wings,6-1,Louisville,USA
NaLyssa Smith,Forward,F,3,Las Vegas Aces,6-4,Baylor,USA
Napheesa Collier,Forward,F,24,Minnesota Lynx,6-1,UConn,USA
Natasha Cloud,Guard,G,9,New York Liberty,5-10,St. Joseph's (PA),USA
Natasha Howard,Forward,F,6,Indiana Fever,6-3,Florida State,USA
Natasha Mack,Forward-Center,"F, C",4,Phoenix Mercury,6-4,Oklahoma State,USA
Natisha Hiedeman,Guard,G,2,Minnesota Lynx,5-8,Marquette,USA
Naz Hillmon,Forward,F,0,Atlanta Dream,6-2,Michigan,USA
Nia Coffey,Forward,F,12,Atlanta Dream,6-1,Northwestern,USA
Nneka Ogwumike,Forward,F,3,Seattle Storm,6-2,Stanford,USA
Nyara Sabally,Center,C,8,New York Liberty,6-5,Oregon,USA
Odyssey Sims,Guard,G,1,Indiana Fever,5-8,Baylor,USA
Olivia Nelson-Ododa,Center,C,10,Connecticut Sun,6-5,UConn,USA
Paige Bueckers,Guard,G,5,Dallas Wings,6-0,UConn,USA
Rachel Banham,Guard,G,24,Chicago Sky,5-10,Minnesota,USA
Rae Burrell,Guard-Forward,"G, F",12,Los Angeles Sparks,6-2,Tennessee,USA
Rayah Marshall,Center-Forward,"C, F",13,Connecticut Sun,6-4,USC,USA
Rebecca Allen,Forward-Guard,"F, G",9,Chicago Sky,6-2,Melbourne,Australia
Rebekah Gardner,Guard,G,7,New York Liberty,6-1,UCLA,USA
Rhyne Howard,Guard,G,10,Atlanta Dream,6-2,Kentucky,USA
Rickea Jackson,Forward,F,2,Los Angeles Sparks,6-2,Tennessee,USA
Robyn Parks,Forward,F,TBD,,6-1,Va Commonwealth,USA
Sabrina Ionescu,Guard,G,20,New York Liberty,5-11,Oregon,USA
Sami Whitcomb,Guard,G,33,Phoenix Mercury,5-10,Washington,Australia
Sania Feagin,Forward,F,1,Los Angeles Sparks,6-3,South Carolina,USA
Saniya Rivers,Guard,G,22,Connecticut Sun,6-1,NC State,USA
Sarah Ashlee Barker,Guard,G,13,Los Angeles Sparks,6-0,Alabama,USA
Satou Sabally,Forward,F,0,Phoenix Mercury,6-4,Oregon,USA
Serena Sundell,Guard,G,TBD,,6-1,Kansas State,USA
Sevgi Uzun,Guard,G,10,Chicago Sky,5-10,,Turkey
Shakira Austin,Forward-Center,"F, C",0,Washington Mystics,6-5,Mississippi,USA
Shatori Walker-Kimbrough,Guard,G,32,Atlanta Dream,5-9,Maryland,USA
Shey Peddy,Guard,G,5,Indiana Fever,5-7,Temple,USA
Sika Koné,Forward,F,23,Atlanta Dream,6-3,Spain,Spain
Skylar Diggins,Guard,G,4,Seattle Storm,5-9,Notre Dame,USA
Sonia Citron,Guard,G,22,Washington Mystics,6-1,Notre Dame,
Sophie Cunningham,Guard,G,8,Indiana Fever,6-1,Missouri,USA
Stefanie Dolson,Center,C,31,Washington Mystics,6-5,UConn,USA
Stephanie Talbot,Forward,F,6,New York Liberty,6-2,Adelaide,Australia
Sug Sutton,Guard,G,1,Washington Mystics,5-8,University of Texas at Austin,USA
Sydney Colson,Guard,G,51,Indiana Fever,5-8,Texas A&M,USA
Taylor Thierry,Guard-Forward,"G, F",5,Atlanta Dream,6-1,Ohio State,USA
Te-Hina Paopao,Guard,G,2,Atlanta Dream,5-9,South Carolina,
Teaira McCowan,Center,C,TBD,,6-7,Mississippi State,USA
Temi Fágbénlé,Center,C,14,Golden State Valkyries,6-4,USC,UK
Tiffany Hayes,Guard,G,15,Golden State Valkyries,5-10,UConn,USA
Tiffany Mitchell,Guard,G,25,Seattle Storm,5-9,South Carolina,USA
Tina Charles,Center,C,31,Connecticut Sun,6-4,UConn,USA
Tyasha Harris,Guard,G,52,Dallas Wings,5-10,South Carolina,USA
Veronica Burton,Guard,G,22,Golden State Valkyries,5-9,Northwestern,USA
Yvonne Anderson,Guard,G,TBD,,5-7,University of Texas at Austin,USA
Zia Cooke,Guard,G,7,Seattle Storm,5-9,South Carolina,USA
