season,player_name,team,season_type,stat,stat_with_player_on,stat_with_player_off,difference_with_playeron_vs_playeroff
2024,Natasha Cloud,PHX,regular season,% of FG3A Blocked,0.017,0.009,0.01
2024,Natasha Cloud,PHX,regular season,% of FG2A Blocked,0.071,0.085,-0.01
2024,Natasha Cloud,PHX,regular season,Live Ball TO%,0.492,0.52,-0.03
2024,Natasha Cloud,PHX,regular season,DReb% - Missed FTs,0.909,0.818,0.09
2024,Natasha Cloud,PHX,regular season,OReb% - Missed FTs,0.222,0.235,-0.01
2024,Natasha Cloud,PHX,regular season,DReb% - Missed 2s,0.658,0.663,0
2024,Natasha Cloud,PHX,regular season,OReb% - Missed 2s,0.208,0.316,-0.11
2024,Natasha Cloud,PHX,regular season,DReb% - Missed 3s,0.719,0.726,-0.01
2024,Natasha Cloud,PHX,regular season,OReb% - Missed 3s,0.233,0.243,-0.01
2024,Natasha Cloud,PHX,regular season,DReb% - Missed FGs,0.684,0.692,-0.01
2024,Natasha Cloud,PHX,regular season,OReb% - Missed FGs,0.219,0.28,-0.06
2024,Natasha Cloud,PHX,regular season,At Rim OReb%,0.285,0.469,-0.18
2024,Natasha Cloud,PHX,regular season,Short Mid-Range OReb%,0.2,0.206,-0.01
2024,Natasha Cloud,PHX,regular season,Long Mid-Range OReb%,0.145,0.314,-0.17
2024,Natasha Cloud,PHX,regular season,Arc 3 OReb%,0.24,0.266,-0.03
2024,Natasha Cloud,PHX,regular season,Corner 3 OReb%,0.206,0.171,0.03
2024,Natasha Cloud,PHX,regular season,At Rim DReb%,0.556,0.51,0.05
2024,Natasha Cloud,PHX,regular season,Short Mid-Range DReb%,0.655,0.699,-0.04
2024,Natasha Cloud,PHX,regular season,Long Mid-Range DReb%,0.755,0.76,0
2024,Natasha Cloud,PHX,regular season,Arc 3 DReb%,0.725,0.764,-0.04
2024,Natasha Cloud,PHX,regular season,Corner 3 DReb%,0.696,0.588,0.11
2024,Natasha Cloud,PHX,regular season,Blocks Recovered %,0.493,0.553,-0.06
2024,Natasha Cloud,PHX,regular season,Seconds Per Possession - Offense,15.074,15.463,-0.39
2024,Natasha Cloud,PHX,regular season,Seconds Per Possession - Defense,15.311,15.488,-0.18
2024,Natasha Cloud,PHX,regular season,At Rim Shot Frequency,0.234,0.263,-0.03
2024,Natasha Cloud,PHX,regular season,At Rim FG%,0.669,0.655,0.02
2024,Natasha Cloud,PHX,regular season,At Rim % Assisted,0.597,0.634,-0.04
2024,Natasha Cloud,PHX,regular season,Short Mid Range Shot Frequency,0.244,0.23,0.01
2024,Natasha Cloud,PHX,regular season,Short Mid Range FG%,0.406,0.444,-0.04
2024,Natasha Cloud,PHX,regular season,Short Mid Range % Assisted,0.683,0.636,0.05
2024,Natasha Cloud,PHX,regular season,Long Mid Range Shot Frequency,0.125,0.117,0.01
2024,Natasha Cloud,PHX,regular season,Long Mid Range FG%,0.369,0.444,-0.08
2024,Natasha Cloud,PHX,regular season,Long Mid % Assisted,0.468,0.5,-0.03
2024,Natasha Cloud,PHX,regular season,Corner 3 Shot Frequency,0.076,0.091,-0.01
2024,Natasha Cloud,PHX,regular season,Corner 3 FG%,0.34,0.286,0.05
2024,Natasha Cloud,PHX,regular season,Corner 3 % Assisted,0.981,0.929,0.05
2024,Natasha Cloud,PHX,regular season,Arc 3 Shot Frequency,0.32,0.3,0.02
2024,Natasha Cloud,PHX,regular season,Arc 3 FG%,0.332,0.302,0.03
2024,Natasha Cloud,PHX,regular season,Arc 3 % Assisted,0.848,0.776,0.07
2024,Natasha Cloud,PHX,regular season,At Rim or 3pt Shot Frequency,0.631,0.654,-0.02
2024,Natasha Cloud,PHX,regular season,Non-Heave Arc 3 FG%,0.335,0.306,0.03
2024,Natasha Cloud,PHX,regular season,Shot Quality,0.5,0.502,0
2024,Natasha Cloud,PHX,regular season,Shooting Foul Drawn Rate,0.105,0.131,-0.02
2024,Natasha Cloud,PHX,regular season,3pt Shooting Foul Drawn Rate,0.16,0.186,-0.02
2024,Natasha Cloud,PHX,regular season,2pt Shooting Foul Drawn Rate,0.012,0.032,-0.02
2024,Natasha Cloud,PHX,regular season,Second Chance Points%,0.112,0.129,-0.02
2024,Natasha Cloud,PHX,regular season,Penalty Points%,0.238,0.176,0.06
2024,Natasha Cloud,PHX,regular season,Penalty Possessions%,0.216,0.189,0.03
2024,Natasha Cloud,PHX,regular season,Avg 2pt Shot Distance,7.656,7.271,0.39
2024,Natasha Cloud,PHX,regular season,Avg 3pt Shot Distance,24.946,25.035,-0.09
2024,Natasha Cloud,PHX,regular season,Penalty Efficiency Excluding Last Minute Take Foul Possessions,111.877,95.968,15.91
2024,Natasha Cloud,PHX,regular season,DReb%,0.694,0.696,0
2024,Natasha Cloud,PHX,regular season,OReb%,0.219,0.278,-0.06
2024,Natasha Cloud,PHX,regular season,Pts per 100 Possessions,101.972,103.359,-1.39
2024,Natasha Cloud,PHX,regular season,Assist Points per 100 Possessions,59.737,56.336,3.4
2024,Natasha Cloud,PHX,regular season,FTA per 100 Possessions,22.145,27.939,-5.79
2024,Natasha Cloud,PHX,regular season,TOs per 100 Possessions,17.625,18.779,-1.15
2024,Natasha Cloud,PHX,regular season,Assists per 100 Possessions,25.021,24.275,0.75
2024,Natasha Cloud,PHX,regular season,Pts per 100 Possessions - Defense,105.979,108.308,-2.33
2024,Natasha Cloud,PHX,regular season,Shot Quality - Defense,0.498,0.506,-0.01
2024,Natasha Cloud,PHX,regular season,3pt FG% - Defense,0.344,0.325,0.02
