team,team_slug,row_type,player,core_years,salary_cap_hit_2026,pct_of_cap_2026,pct_of_team_2026,status_2026,salary_cap_hit_2027,pct_of_cap_2027,pct_of_team_2027,status_2027,salary_cap_hit_2028,pct_of_cap_2028,pct_of_team_2028,status_2028,salary_cap_hit_2029,pct_of_cap_2029,pct_of_team_2029,status_2029,salary_cap_hit_2030,pct_of_cap_2030,pct_of_team_2030,status_2030,source,source_url
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Sika Koné,,277500,4.0,4.7,,,,,RFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Indya Nivar,,270000,3.9,4.5,,288600,,4.3,,317460,,5.3,,358730,,32.9,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Isobel Borlase,,270000,3.9,4.5,,288600,,4.3,,317460,,5.3,,358730,,32.9,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Bella Fontleroy,,270000,3.9,4.5,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Holly Winterburn,,270000,3.9,4.5,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Laila Phelia,,270000,3.9,4.5,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Sacha Washington,,270000,3.9,4.5,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,roster_player,Lorela Cubaj,,,,,Reserved,,,,,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,unsigned_draftee,Kejia Ran,,270000,3.9,4.5,,288600,,4.3,,317460,,5.3,,358730,,32.9,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 2 Pick ? (?) (ATL),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (ATL),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Azurá Stevens,,1000000,14.3,15.2,,1050000,,15.7,,1100000,,34.5,,,,,UFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Skylar Diggins,,920000,13.1,14.0,,940000,,14.1,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Courtney Vandersloot,2019.0,750000,10.7,11.4,,750000,,11.2,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,DiJonai Carrington,,650000,9.3,9.9,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Elizabeth Williams,,600000,8.6,9.1,,600000,,9.0,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Kamilla Cardoso,,461171,6.6,7.0,,521123,,7.8,,,,,RFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Rickea Jackson,,430654,6.2,6.5,,486638,,7.3,,,,,RFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Rachel Banham,,425000,6.1,6.5,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Jacy Sheldon,,402155,5.7,6.1,,454435,,6.8,,,,,RFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Gabriela Jaquez,,380219,5.4,5.8,,395428,,5.9,,434971,,13.6,,491517,,31.4,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Hailey Van Lith,,289133,4.1,4.4,,318046,,4.8,,359392,,11.3,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Maddy Westbeld,,277500,4.0,4.2,,305250,,4.6,,344933,,10.8,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Latasha Lattimore,,270000,3.9,4.1,,288600,,4.3,,317460,,9.9,,358730,,22.9,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Tonie Morgan,,270000,3.9,4.1,,288600,,4.3,,317460,,9.9,,358730,,22.9,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Aicha Coulibaly,,270000,3.9,4.1,,288600,,4.3,,317460,,9.9,,358730,,22.9,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Jordan Hobbs,,270000,3.9,4.1,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Megan Nestor,,270000,3.9,4.1,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Sydney Taylor,,270000,3.9,4.1,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,unsigned_draftee,Ajša Sivka,,289133,4.1,4.4,,300698,,4.5,,330768,,10.4,,373768,,23.8,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 1 Pick ? (?) (ATL),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 1 Pick ? (?) (CHI),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (CHI),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Brittney Griner,"2020, 2021, 2022",1190000,17.0,25.0,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Kennedy Burke,,1000000,14.3,21.0,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Olivia Nelson-Ododa,,735000,10.5,15.4,,700000,,21.0,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Diamond Miller,,536588,7.7,11.3,,,,,RFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Aaliyah Edwards,,375542,5.4,7.9,,424362,,12.8,,,,,RFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Aneesah Morrow,,331563,4.7,7.0,,364720,,11.0,,412134,,16.8,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Saniya Rivers,,309622,4.4,6.5,,340585,,10.2,,384861,,15.7,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Leila Lacan,,289133,4.1,6.1,,318046,,9.6,,359392,,14.7,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Gianna Kneepkens,,289133,4.1,6.1,,300698,,9.0,,330768,,13.5,,373768,,25.5,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Nell Angloma,,289133,4.1,6.1,,300698,,9.0,,330768,,13.5,,373768,,25.5,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Shey Peddy,,277500,4.0,5.8,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Mamignan Touré,,277500,4.0,5.8,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Charlisse Leger-Walker,,270000,3.9,5.7,,288600,,8.7,,317460,,12.9,,358730,,24.5,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Taylor Bigby,,270000,3.9,5.7,,288600,,8.7,,317460,,12.9,,358730,,24.5,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Harmoni Turner,,270000,3.9,5.7,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Kyla Oldacre,,270000,3.9,5.7,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Madison Hayes,,270000,3.9,5.7,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Raegan Beers,,270000,3.9,5.7,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Tina Charles,"2018, 2019, 2020",,,,UFA,,,,,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Diamond DeShields,,,,,UFA,,,,,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Bria Hartley,,,,,UFA,,,,,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,roster_player,Haley Peters,,,,,RFA,,,,,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 1 Pick ? (?) (CON),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 2 Pick ? (?) (CON),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Connecticut Sun,connecticut-sun-11eaecc7-3562-4a0a-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (CON),,,,,,,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",,,,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Alanna Smith,,1190000,17.0,17.9,,1249500,,22.5,,1309000,,36.9,,,,,UFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Arike Ogunbowale,"2026, 2027",1190000,17.0,17.9,,1249500,,22.5,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Jessica Shepard,,1000000,14.3,15.0,,1050000,,18.9,,,,,UFA,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Awak Kuier,,525000,7.5,7.9,,,,,RFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Maddy Siegrist,,501080,7.2,7.5,,,,,RFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Paige Bueckers,,500000,7.1,7.5,,550000,,9.9,,621500,,17.5,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Azzi Fudd,,500000,7.1,7.5,,520000,,9.4,,572000,,16.1,,646360,,100.0,,,,,RFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Lindsay Allen,,410000,5.9,6.2,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Aziaha James,,289133,4.1,4.3,,318046,,5.7,,359392,,10.1,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Rayah Marshall,,277500,4.0,4.2,,305250,,5.5,,344933,,9.7,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,JJ Quinerly,,277500,4.0,4.2,,305250,,5.5,,344933,,9.7,,,,,RFA,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Grace Berger,,277500,4.0,4.2,,,,,RFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Alysha Clark,,277500,4.0,4.2,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Dulcy Fankam Mendjiadeu,,277500,4.0,4.2,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Odyssey Sims,,277500,4.0,4.2,,,,,UFA,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Li Yueru,,277500,4.0,4.2,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Costanza Verona,,270000,3.9,4.1,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Amy Okonkwo,,270000,3.9,4.1,,,,,Reserved,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Dallas Wings,dallas-wings-11eaecc7-3583-13fc-b611-2362f5011b0b,roster_player,Lou Lopez Sénéchal,,,,,SuspCE,,,,,,,,,,,,,,,,,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
