Season,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
2025,Sonia Citron,WAS,G,44,44,1415,223,474,0.47,81,182,0.445,142,292,0.486,130,149,0.872,29,174,104,55,17,91,94,657,16.4,0.609,0.556,0.384,0.314,2.5,7.6,13.6,2,1.2,14.4,20.5,110,106,2.7,1.5,4.2,0.119
2025,Caitlin Clark,IND,G,13,13,404,72,196,0.367,29,104,0.279,43,92,0.467,41,50,0.82,1,65,115,21,7,66,35,214,16.5,0.491,0.441,0.531,0.255,0.3,9.8,47.2,2.7,1.6,23.2,31.5,94,102,-0.3,0.7,0.5,0.045
2025,Natasha Cloud,NYL,G,41,41,1191,151,349,0.433,52,154,0.338,99,195,0.508,60,69,0.87,14,151,211,49,14,77,119,414,14.2,0.546,0.507,0.441,0.198,1.5,7.4,28.9,2.1,1.1,16.9,17.7,108,104,1.8,1.7,3.5,0.117
2025,Nia Coffey,ATL,F,44,2,455,55,147,0.374,24,82,0.293,31,65,0.477,36,50,0.72,26,114,46,10,18,30,47,170,14.1,0.503,0.456,0.558,0.34,6.9,14.8,16.1,1.2,3.4,15.1,20.1,103,99,0.4,1,1.4,0.121
2025,Napheesa Collier,MIN,F,33,33,1065,275,518,0.531,50,124,0.403,225,394,0.571,155,171,0.906,62,241,105,54,50,70,78,755,30.2,0.636,0.579,0.239,0.33,7.1,13.5,18.2,2.7,4.3,10.6,28.6,123,96,5.5,2.7,8.3,0.31
2025,Sydney Colson,IND,G,30,6,404,26,76,0.342,13,47,0.277,13,29,0.448,6,7,0.857,7,25,60,15,6,35,34,71,5.8,0.449,0.428,0.618,0.092,2.1,3.8,20.7,1.9,1.4,30.7,12.7,86,107,-0.4,0.4,0,-0.004
2025,Zia Cooke,SEA,G,26,0,261,30,84,0.357,15,38,0.395,15,46,0.326,15,23,0.652,6,14,14,10,1,22,26,90,5.6,0.478,0.446,0.452,0.274,2.7,3.2,8.1,2,0.3,18.9,20.4,83,107,-0.5,0.3,-0.3,-0.043
2025,Kahleah Copper,PHO,G-F,28,28,752,153,361,0.424,57,151,0.377,96,210,0.457,75,88,0.852,11,81,43,30,5,62,73,438,14.4,0.548,0.503,0.418,0.244,1.6,6.2,10.6,2,0.6,13.4,27.6,98,105,0.2,1,1.2,0.064
2025,Sophie Cunningham,IND,G,30,13,756,82,175,0.469,51,118,0.432,31,57,0.544,42,48,0.875,15,105,36,29,3,34,65,257,12.8,0.655,0.614,0.674,0.274,2.4,8.4,7.1,2,0.4,14.8,13.6,118,105,1.5,1,2.5,0.13
2025,Damiris Dantas,IND,C-F,38,0,439,63,181,0.348,25,95,0.263,38,86,0.442,24,28,0.857,28,91,25,6,3,29,57,175,8.4,0.453,0.417,0.525,0.155,7.6,12.6,8.9,0.7,0.6,13,22.7,92,107,-0.3,0.4,0.1,0.01
2025,Kariata Diaby,CON,C,13,0,103,7,14,0.5,0,0,,7,14,0.5,11,14,0.786,3,13,5,6,1,12,19,25,5.8,0.62,0.5,0,1,3.3,7.5,7.8,3,0.9,37.3,14.2,85,110,-0.1,0.1,-0.1,-0.031
2025,Skylar Diggins,SEA,G,43,43,1343,228,539,0.423,62,170,0.365,166,369,0.45,149,189,0.788,27,108,258,52,35,91,101,667,18.8,0.536,0.481,0.315,0.351,2.3,4.8,31.8,2,2.3,12.8,24.3,108,105,2.9,1.8,4.6,0.138
2025,Stefanie Dolson,WAS,C,43,14,653,60,142,0.423,27,75,0.36,33,67,0.493,14,20,0.7,16,97,59,12,14,29,97,161,8.5,0.534,0.518,0.528,0.141,3,9.1,14.9,1,2.1,16.1,12.7,102,107,0.3,0.6,1,0.059
2025,Emily Engstler,WAS,F,40,0,512,53,134,0.396,16,63,0.254,37,71,0.521,24,36,0.667,37,130,58,28,27,38,52,146,14.7,0.487,0.455,0.47,0.269,8.9,15.6,19.1,2.8,5.1,20.2,16.9,96,99,0,1.1,1.1,0.082
2025,Dana Evans,LVA,G,44,1,777,107,275,0.389,37,101,0.366,70,174,0.402,40,53,0.755,8,47,96,17,5,37,57,291,10.8,0.488,0.456,0.367,0.193,1.2,3.5,20.5,1.1,0.6,11,19.7,101,110,0.4,0.4,0.8,0.043
2025,Temi Fagbenle,GSV,C,39,38,925,125,249,0.502,12,62,0.194,113,187,0.604,26,36,0.722,70,190,61,35,23,58,119,288,12.9,0.544,0.526,0.249,0.145,9,12,12.5,2,2.6,18,16.3,103,101,0.7,1.7,2.4,0.103
2025,Sania Feagin,LAS,F,16,0,77,10,28,0.357,0,4,0,10,24,0.417,0,2,0,3,11,4,0,6,7,16,20,0.2,0.346,0.357,0.143,0.071,4.8,8.5,8.2,0,7.2,19.5,20.8,66,112,-0.4,0,-0.3,-0.179
2025,Leonie Fiebich,NYL,F,37,37,1041,108,221,0.489,51,120,0.425,57,101,0.564,54,62,0.871,23,131,64,34,14,45,90,321,12.1,0.646,0.604,0.543,0.281,2.7,7.3,9.7,1.7,1.2,15.3,13,115,106,1.8,1.3,3,0.117
2025,Rebekah Gardner,NYL,G,41,5,502,55,110,0.5,20,42,0.476,35,68,0.515,22,27,0.815,27,74,25,25,7,23,63,152,12.5,0.624,0.591,0.382,0.245,6.6,8.5,7.9,2.6,1.3,15.9,13.4,114,104,0.8,0.7,1.6,0.125
2025,Luisa Geiselsöder,DAL,C,28,24,628,76,179,0.425,31,94,0.33,45,85,0.529,9,11,0.818,24,133,44,22,19,28,67,192,12,0.522,0.511,0.525,0.061,4.2,12.2,11.1,1.8,2.9,13.2,14.7,102,110,0.4,0.4,0.8,0.048
2025,Allisha Gray,ATL,G,42,42,1451,246,546,0.451,98,255,0.384,148,291,0.509,183,229,0.799,36,223,147,45,15,74,109,773,19.7,0.598,0.54,0.467,0.419,3,9.1,17.5,1.6,0.9,10.3,22.8,119,102,5.2,2.5,7.7,0.212
2025,Chelsea Gray,LVA,G,44,44,1368,169,385,0.439,63,171,0.368,106,214,0.495,92,104,0.885,25,173,239,62,28,125,89,493,15.4,0.572,0.521,0.444,0.27,2.1,7.4,28.3,2.3,1.8,22.5,18.5,106,105,1.7,1.8,3.5,0.104
2025,Brittney Griner,ATL,C,39,25,810,156,301,0.518,5,19,0.263,151,282,0.535,65,85,0.765,36,203,33,5,47,59,75,382,16.1,0.564,0.527,0.063,0.282,5.4,14.8,7.3,0.3,5,14.8,22.6,102,100,0.7,1.7,2.4,0.117
2025,Megan Gustafson,LVA,C,20,1,226,20,57,0.351,13,39,0.333,7,18,0.389,7,15,0.467,8,36,5,3,6,6,42,60,5.6,0.472,0.465,0.684,0.263,4.1,9.3,3.4,0.7,2.3,8.6,14.1,96,107,0,0.2,0.2,0.032
2025,Dearica Hamby,LAS,F,44,44,1374,324,566,0.572,15,54,0.278,309,512,0.604,148,236,0.627,113,349,144,69,21,117,119,811,23.8,0.605,0.586,0.095,0.417,10,15.2,20,2.5,1.4,14.9,25.6,114,108,4.4,1.2,5.6,0.162
2025,Isabelle Harrison,NYL,F,34,1,360,65,134,0.485,4,15,0.267,61,119,0.513,33,43,0.767,29,89,24,20,2,23,44,167,17.2,0.546,0.5,0.112,0.321,9.9,14.3,11.9,2.9,0.5,13.1,22.6,106,101,0.5,0.7,1.2,0.135
2025,Tyasha Harris,DAL,G,5,0,82,8,18,0.444,5,11,0.455,3,7,0.429,2,2,1,1,5,13,2,2,3,5,23,13.7,0.609,0.583,0.611,0.111,1.3,3.5,24.2,1.2,2.3,13.7,11.6,125,115,0.2,0,0.2,0.095
2025,Bria Hartley,CON,G,38,32,867,106,293,0.362,54,147,0.367,52,146,0.356,71,92,0.772,11,75,117,29,0,69,95,337,10.5,0.505,0.454,0.502,0.314,1.5,5.2,23.8,1.7,0,17.1,21.1,97,115,0,-0.1,-0.2,-0.007
2025,Tiffany Hayes,GSV,G,26,24,700,99,237,0.418,41,101,0.406,58,136,0.426,64,80,0.8,18,100,77,14,4,49,58,303,14.1,0.557,0.504,0.426,0.338,3.1,8.4,21.2,1.1,0.6,15.3,21.4,107,105,1.1,0.9,1.9,0.111
2025,Lexi Held,PHO,G,32,0,471,62,164,0.378,28,91,0.308,34,73,0.466,18,22,0.818,11,34,35,23,5,28,38,170,9.8,0.489,0.463,0.555,0.134,2.6,4.1,12.2,2.5,1,13.9,19.3,94,105,-0.2,0.6,0.4,0.034
2025,Natisha Hiedeman,MIN,G,44,0,833,151,307,0.492,46,124,0.371,105,183,0.574,51,67,0.761,11,82,123,32,9,54,71,399,17.9,0.593,0.567,0.404,0.218,1.6,5.9,23.8,2,1,13.8,21.5,114,103,2.2,1.3,3.5,0.169
2025,Naz Hillmon,ATL,F,44,17,1122,139,300,0.463,53,165,0.321,86,135,0.637,49,59,0.831,69,271,105,21,19,50,74,380,15.8,0.583,0.552,0.55,0.197,7.4,14.3,15,1,1.4,13.3,15.4,118,102,2.7,2,4.8,0.17
2025,Myisha Hines-Allen,DAL,F,40,20,882,112,249,0.45,16,60,0.267,96,189,0.508,62,83,0.747,58,240,116,32,18,87,101,302,13.8,0.529,0.482,0.241,0.333,7.2,15.6,21,1.8,1.9,23.4,18.4,98,109,0.1,0.6,0.8,0.034
2025,Joyner Holmes,LVA,F,6,0,29,3,12,0.25,1,5,0.2,2,7,0.286,0,0,,2,6,0,0,0,2,5,7,-4.4,0.292,0.292,0.417,0,8,12.1,0,0,0,14.3,22,61,110,-0.2,0,-0.1,-0.204
2025,Mackenzie Holmes,SEA,F,10,0,58,5,7,0.714,0,0,,5,7,0.714,0,0,,3,9,2,5,1,0,7,10,14,0.714,0.714,0,0,6,9.3,5,4.4,1.5,0,5.5,156,98,0.1,0.1,0.3,0.191
2025,Natasha Howard,IND,F,44,44,1060,200,362,0.552,6,33,0.182,194,329,0.59,94,132,0.712,86,290,66,52,25,85,119,500,19.3,0.595,0.561,0.091,0.365,9.7,16.6,10.5,2.5,2.1,16.8,21.4,109,100,2.1,2.1,4.2,0.157
2025,Rhyne Howard,ATL,G,33,32,1151,187,499,0.375,102,317,0.322,85,182,0.467,101,118,0.856,31,148,153,51,27,55,96,577,18.2,0.524,0.477,0.635,0.236,3.3,7.6,22.6,2.3,2,9.1,24.2,111,100,2.8,2.3,5.1,0.177
2025,Lexie Hull,IND,G,44,30,1189,118,299,0.395,55,150,0.367,63,149,0.423,26,36,0.722,62,190,79,51,7,41,121,317,10.5,0.503,0.487,0.502,0.12,6.2,9.7,9.7,2.2,0.5,11.5,13.4,107,105,1.1,1.6,2.7,0.091
2025,Sabrina Ionescu,NYL,G,38,38,1194,230,573,0.401,81,271,0.299,149,302,0.493,152,163,0.933,30,185,216,48,16,100,63,693,20.4,0.537,0.472,0.473,0.284,3.1,9,33,2.1,1.2,13.4,28.9,107,104,2.6,1.7,4.3,0.145
2025,Kiki Iriafen,WAS,F,44,44,1185,222,455,0.488,2,11,0.182,220,444,0.495,138,176,0.784,114,376,69,26,7,96,126,584,17.3,0.548,0.49,0.024,0.387,11.8,19.5,11.4,1.1,0.6,15.3,24.5,104,105,1.5,1.5,3,0.102
2025,Rickea Jackson,LAS,F,38,37,1173,205,483,0.424,65,187,0.348,140,296,0.473,83,98,0.847,38,122,64,23,14,78,71,558,12.3,0.53,0.492,0.387,0.203,4,6.2,9.3,1,1.1,12.9,23,100,115,0.5,-0.2,0.3,0.009
2025,Aziaha James,DAL,G,38,8,673,106,284,0.373,32,112,0.286,74,172,0.43,41,55,0.745,36,111,59,24,7,38,46,285,12.5,0.462,0.43,0.394,0.194,5.9,9.5,14.7,1.8,1,11,22.4,97,113,0,0.1,0.1,0.003
2025,Moriah Jefferson,CHI,G,5,1,35,3,8,0.375,1,3,0.333,2,5,0.4,0,0,,0,5,9,0,0,2,3,7,9.6,0.438,0.438,0.375,0,0,8.4,41.8,0,0,20,12.8,104,116,0,0,0,0.017
2025,Marine Johannes,NYL,G,44,5,803,100,252,0.397,65,189,0.344,35,63,0.556,16,19,0.842,13,84,70,25,12,52,46,281,10.6,0.54,0.526,0.75,0.075,2,6.1,14.2,1.6,1.4,16.6,18,96,106,-0.1,0.9,0.8,0.04
2025,Brionna Jones,ATL,F,44,44,1169,225,427,0.527,12,46,0.261,213,381,0.559,102,132,0.773,136,319,95,48,36,64,109,564,22.6,0.581,0.541,0.108,0.309,14,16.1,14.6,2.2,2.6,11.7,21.6,119,99,4.2,2.6,6.8,0.234
2025,Jonquel Jones,NYL,C,31,31,830,150,306,0.49,53,125,0.424,97,181,0.536,70,91,0.769,45,251,85,15,33,65,79,423,20.3,0.611,0.577,0.408,0.297,6.7,17.5,18.3,0.9,3.6,15.8,22.9,111,100,1.9,1.6,3.6,0.172
2025,Elizabeth Kitley,LVA,C,12,1,98,7,23,0.304,0,1,0,7,22,0.318,1,2,0.5,4,17,1,4,6,7,18,15,1,0.314,0.304,0.043,0.087,4.7,10.1,1.5,2.1,5.4,22.7,14.4,59,102,-0.4,0.2,-0.2,-0.091
2025,Anastasiia Kosu,MIN,F,21,0,80,13,29,0.448,0,2,0,13,27,0.481,9,15,0.6,10,15,5,1,4,7,9,35,13.6,0.492,0.448,0.069,0.517,15.2,11.1,9.8,0.7,4.6,16.4,24.5,99,105,0,0.1,0.1,0.068
2025,Leïla Lacan,CON,G,25,15,665,104,218,0.477,15,67,0.224,89,151,0.589,36,42,0.857,17,59,92,55,4,47,83,259,15.9,0.548,0.511,0.307,0.193,2.9,5.3,26,4.3,0.6,16.6,19.4,104,109,0.7,0.5,1.2,0.07
2025,Kitija Laksa,PHO,G,33,5,626,66,180,0.367,38,120,0.317,28,60,0.467,26,32,0.813,11,40,21,12,6,19,48,196,7.4,0.505,0.472,0.667,0.178,2,3.7,5.3,1,0.9,8.9,15.3,99,109,0.2,0.5,0.6,0.04
2025,Kyra Lambert,IND,G,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,
2025,Carla Leite,GSV,G,37,6,637,86,222,0.387,13,75,0.173,73,147,0.497,83,99,0.838,9,48,75,26,3,57,55,268,11.5,0.505,0.417,0.338,0.446,1.7,4.4,22.4,2.2,0.5,17.7,23.6,97,105,0,0.8,0.8,0.051
2025,Kyara Linskens,GSV,C,4,0,27,2,5,0.4,0,1,0,2,4,0.5,0,0,,1,6,1,1,3,2,7,4,5,0.4,0.4,0.2,0,4.4,13,6.3,2,11.7,28.6,12.1,69,94,-0.1,0.1,0,0.017
2025,Jewell Loyd,LVA,G,44,25,1245,166,427,0.389,100,262,0.382,66,165,0.4,59,71,0.831,49,142,81,52,11,53,85,491,13.4,0.536,0.506,0.614,0.166,4.6,6.7,10.7,2.2,0.8,10.4,18.7,106,107,1.6,1.2,2.8,0.091
2025,Marina Mabrey,CON,G,35,34,1103,179,488,0.367,66,244,0.27,113,244,0.463,80,92,0.87,17,146,141,24,10,98,100,504,11.1,0.477,0.434,0.5,0.189,1.8,7.9,24.3,1.1,0.9,15.6,25.8,92,114,-1.1,-0.1,-1.1,-0.041
2025,Natasha Mack,PHO,F-C,34,23,623,71,124,0.573,0,4,0,71,120,0.592,17,36,0.472,78,197,30,30,52,15,55,159,19.5,0.569,0.573,0.032,0.29,14.1,18.1,7.7,2.5,7.9,9.7,11.2,125,96,1.6,1.7,3.2,0.207
2025,Ezi Magbegor,SEA,F-C,44,44,1203,141,286,0.493,14,48,0.292,127,238,0.534,57,83,0.687,85,272,92,30,96,43,126,353,16.1,0.547,0.517,0.168,0.29,8.2,13.6,11.6,1.3,7.2,11.8,13.9,113,100,2.1,2.4,4.5,0.151
2025,Dominique Malonga,SEA,C,42,0,600,145,263,0.551,4,18,0.222,141,245,0.576,29,51,0.569,54,195,36,17,28,48,87,323,20,0.566,0.559,0.068,0.194,10.5,19.5,11.3,1.5,4.2,14.4,25.5,102,99,0.6,1.3,1.9,0.126
2025,Rayah Marshall,CON,C-F,15,0,90,9,26,0.346,0,1,0,9,25,0.36,7,12,0.583,7,26,4,2,3,7,12,25,7.1,0.4,0.346,0.038,0.462,8.9,17.2,7.6,1.2,3.2,18.3,19.3,80,109,-0.2,0.1,-0.2,-0.073
2025,Kate Martin,GSV,G,42,4,687,86,266,0.323,57,184,0.31,29,82,0.354,32,41,0.78,20,112,40,17,4,34,48,261,9.4,0.459,0.43,0.692,0.154,3.5,9.5,10.9,1.3,0.6,10.7,21.6,93,104,-0.4,1,0.6,0.032
2025,Kayla McBride,MIN,G,39,39,1220,178,428,0.416,103,261,0.395,75,167,0.449,95,105,0.905,10,89,137,49,3,67,53,554,16,0.584,0.536,0.61,0.245,1,4.3,17.1,2.1,0.2,12.4,20.4,113,104,2.9,1.7,4.6,0.152
2025,Megan McConnell,PHO,G,1,0,13,1,4,0.25,1,2,0.5,0,2,0,0,0,,1,1,3,1,0,0,1,3,15.4,0.375,0.375,0.5,0,8.6,4.4,34.6,3.9,0,0,13.8,119,104,0,0,0.1,0.162
2025,Teaira McCowan,DAL,C,17,0,219,36,67,0.537,1,2,0.5,35,65,0.538,22,29,0.759,30,78,10,5,12,16,24,95,20.3,0.596,0.545,0.03,0.433,15.1,20.4,7.8,1.2,5.2,16.7,19,113,108,0.5,0.2,0.7,0.127
2025,Aari McDonald,IND,G,20,13,525,66,154,0.429,24,78,0.308,42,76,0.553,40,51,0.784,9,47,94,25,3,46,50,196,14,0.555,0.506,0.506,0.331,2,5.4,27.3,2.4,0.5,20.7,19,106,106,0.7,0.6,1.4,0.104
2025,Emma Meesseman,NYL,F,17,12,440,91,159,0.572,14,21,0.667,77,138,0.558,32,37,0.865,22,87,54,21,13,36,26,228,22.8,0.65,0.616,0.132,0.233,6.2,11.5,23,2.5,2.7,17,22.2,115,102,1.3,0.8,2.1,0.192
2025,Jade Melbourne,WAS,G,43,12,1008,90,225,0.4,26,95,0.274,64,130,0.492,49,73,0.671,17,80,124,26,8,72,101,255,7.4,0.496,0.458,0.422,0.324,2.1,4.9,20.2,1.3,0.8,21.9,15.1,93,109,-0.5,0.7,0.2,0.007
2025,Kelsey Mitchell,IND,G,44,44,1381,315,691,0.456,111,282,0.394,204,409,0.499,149,190,0.784,18,77,150,39,7,78,88,890,19.9,0.574,0.536,0.408,0.275,1.6,3.4,19.6,1.4,0.5,9.1,27.7,114,109,4.5,1,5.6,0.161
2025,Aneesah Morrow,CON,F,41,23,775,112,299,0.375,18,75,0.24,94,224,0.42,72,95,0.758,84,282,21,32,18,45,81,314,15,0.461,0.405,0.251,0.318,12.4,21.7,5,2.1,2.3,11.7,22.6,95,106,-0.2,0.9,0.7,0.034
2025,Murjanatu Musa,PHO,C,12,0,122,16,35,0.457,1,2,0.5,15,33,0.455,7,11,0.636,18,31,7,4,2,7,17,40,13.6,0.502,0.471,0.057,0.314,16.6,14.5,9.4,1.7,1.5,14.9,17.3,107,104,0.2,0.2,0.3,0.109
