player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
203416,Emma Meesseman,emmameesseman,2025,NYL,Forward,F,33,32.0,33.0,6-4,76.0,191.0,,Belgium,17.0,13.4,5.1,3.2,3.6,0.06,0.148,0.221,0.65,0.235
204365,Erica Wheeler,ericawheeler,2025,SEA,Guard,G,17,35.0,36.0,5-7,67.0,143.0,Rutgers,USA,44.0,10.3,2.7,3.3,3.7,0.015,0.094,0.1969999999999999,0.515,0.205
1629496,Ezi Magbegor,ezimagbegor,2025,SEA,,,,26.0,27.0,6-4,76.0,181.0,,Australia,44.0,8.0,6.2,2.1,2.8,0.071,0.162,0.136,0.547,0.119
1628931,Gabby Williams,gabbywilliams,2025,SEA,Forward,F,5,29.0,30.0,5-11,71.0,172.0,Connecticut,USA,44.0,11.6,4.3,4.2,6.2,0.017,0.122,0.186,0.508,0.205
1641658,Grace Berger,graceberger,2025,DAL,Guard,G,9,26.0,27.0,5-11,71.0,163.0,Indiana,USA,19.0,3.4,3.3,3.1,-14.6,0.025,0.128,0.118,0.335,0.204
1642817,Hailey Van Lith,haileyvanlith,2025,CHI,Guard,G,2,24.0,25.0,5-9,69.0,,TCU,,29.0,3.5,1.1,1.6,-12.1,0.011,0.077,0.192,0.416,0.222
1641650,Haley Jones,haleyjones,2025,DAL,,,,24.0,25.0,6-1,73.0,187.0,Stanford,USA,28.0,7.3,3.5,2.3,-9.0,0.0279999999999999,0.138,0.178,0.501,0.1689999999999999
203863,Haley Peters,haleypeters,2025,CON,,,,33.0,34.0,6-3,75.0,178.0,Duke,,33.0,2.1,2.2,0.8,-15.3,0.062,0.146,0.126,0.3879999999999999,0.1119999999999999
1630387,Iliana Rupert,ilianarupert,2025,GSV,Center,C,12,24.0,25.0,6-4,76.0,189.0,,France,21.0,9.3,3.9,1.6,8.2,0.047,0.12,0.172,0.609,0.125
204330,Isabelle Harrison,isabelleharrison,2025,NYL,Forward,F,21,32.0,33.0,6-3,75.0,183.0,Tennessee,USA,34.0,4.9,2.6,0.7,-0.9,0.087,0.1639999999999999,0.211,0.546,0.126
1642808,JJ Quinerly,jjquinerly,2025,DAL,Guard,G,11,23.0,24.0,5-8,68.0,,West Virginia,USA,34.0,6.5,1.9,2.3,-3.4,0.032,0.087,0.2,0.529,0.228
