player_id,player_name,playoff_games_career,playoff_starts_career,playoff_minutes_career,playoff_mpg_career,finals_games,championship_count,playoff_last_3_years_games,playoff_last_3_years_minutes,high_leverage_experience_score
1630387,Iliana Rupert,3,,62.0,20.666667,,,3,62.0,13.24
1630389,Dana Evans,14,,281.0,20.071429,,,14,281.0,61.62
1630442,Natasha Mack,13,,180.0,13.846154,,,13,180.0,55.6
1630461,Kiana Williams,2,,7.0,3.5,,,2,7.0,8.14
1630462,Aari McDonald,2,,36.0,18.0,,,2,36.0,8.72
1630471,Maya Caldwell,5,,58.0,11.6,,,5,58.0,21.16
1631006,Kierstan Bell,21,,174.0,8.285714,,,21,174.0,87.48
1631007,Veronica Burton,14,,225.0,16.071429,,,14,225.0,60.5
1631009,Rhyne Howard,7,,249.0,35.571429,,,7,249.0,32.98
1631019,NaLyssa Smith,14,,290.0,20.714286,,,14,290.0,61.8
1631021,Sika Koné,4,,12.0,3.0,,,4,12.0,16.24
1631031,Queen Egbo,3,,12.0,4.0,,,3,12.0,12.24
1631032,Lorela Cubaj,2,,22.0,11.0,,,2,22.0,8.44
1631044,Naz Hillmon,7,,178.0,25.428571,,,7,178.0,31.56
1631055,Nyara Sabally,14,,103.0,7.357143,,,14,103.0,58.06
1631056,Amy Atwell,1,,1.0,1.0,,,1,1.0,4.02
1631086,Lexie Hull,10,,318.0,31.8,,,10,318.0,46.36
1631118,Lexi Held,2,,12.0,6.0,,,2,12.0,8.24
1631135,Olivia Nelson-Ododa,14,,179.0,12.785714,,,14,179.0,59.58
1631263,Nikolina Milic,3,,32.0,10.666667,,,3,32.0,12.64
1641602,Ivana Dojkić,2,,8.0,4.0,,,2,8.0,8.16
1641641,Robyn Parks,2,,26.0,13.0,,,2,26.0,8.52
1641642,Li Meng,2,,14.0,7.0,,,2,14.0,8.28
1641648,Aliyah Boston,10,,317.0,31.7,,,10,317.0,46.34
1641649,Diamond Miller,9,,63.0,7.0,,,9,63.0,37.26
1641650,Haley Jones,3,,21.0,7.0,,,3,21.0,12.42
1641651,Jordan Horston,2,,35.0,17.5,,,2,35.0,8.7
1641652,Maddy Siegrist,4,,19.0,4.75,,,4,19.0,16.38
1641656,Laeticia Amihere,3,,17.0,5.666667,,,3,17.0,12.34
1641657,Dorka Juhász,10,,112.0,11.2,,,10,112.0,42.24
1641658,Grace Berger,1,,2.0,2.0,,,1,2.0,4.04
1641660,Zia Cooke,1,,7.0,7.0,,,1,7.0,4.14
1641665,Leigha Brown,2,,6.0,3.0,,,2,6.0,8.12
1641667,Taylor Soule,1,,1.0,1.0,,,1,1.0,4.02
1641687,Victaria Saxton,1,,2.0,2.0,,,1,2.0,4.04
1641698,Caitlin Bickle,3,,3.0,1.0,,,3,3.0,12.06
1642286,Caitlin Clark,2,,76.0,38.0,,,2,76.0,9.52
1642293,Alissa Pili,3,,1.0,0.333333,,,3,1.0,12.02
1642298,Celeste Taylor,2,,28.0,14.0,,,2,28.0,8.56
1642301,Marquesha Davis,1,,3.0,3.0,,,1,3.0,4.06
1642304,Carla Leite,2,,16.0,8.0,,,2,16.0,8.32
1642307,Mackenzie Holmes,1,,5.0,5.0,,,1,5.0,4.1
1642320,Jaylyn Sherrod,4,,10.0,2.5,,,4,10.0,16.2
1642324,Kate Martin,3,,15.0,5.0,,,3,15.0,12.3
1642344,Camryn Taylor,2,,4.0,2.0,,,2,4.0,8.08
1642534,Ezinne Kalu,1,,15.0,15.0,,,1,15.0,4.3
1642767,Janelle Salaün,2,,49.0,24.5,,,2,49.0,8.98
1642777,Monique Akoa Makani,11,,268.0,24.363636,,,11,268.0,49.36
1642788,Bree Hall,4,,8.0,2.0,,,4,8.0,16.16
1642797,Anastasiia Olairi Kosu,3,,7.0,2.333333,,,3,7.0,12.14
1642798,Dominique Malonga,3,,68.0,22.666667,,,3,68.0,13.36
1642801,Aaliyah Nye,6,,15.0,2.5,,,6,15.0,24.3
1642804,Te-Hina Paopao,3,,29.0,9.666667,,,3,29.0,12.58
1642814,Taylor Thierry,1,,2.0,2.0,,,1,2.0,4.04
1642815,Makayla Timpson,8,,51.0,6.375,,,8,51.0,33.02
1642822,Kaitlyn Chen,1,,4.0,4.0,,,1,4.0,4.08
201886,DeWanna Bonner,25,,770.0,30.8,,,25,770.0,115.4
202250,Tina Charles,2,,58.0,29.0,,,2,58.0,9.16
202252,Alysha Clark,15,,372.0,24.8,,,15,372.0,67.44
202641,Sydney Colson,13,,62.0,4.769231,,,13,62.0,53.24
202658,Danielle Robinson,2,,44.0,22.0,,,2,44.0,8.88
202664,Courtney Vandersloot,21,,484.0,23.047619,,,21,484.0,93.68
203014,Nneka Ogwumike,5,,167.0,33.4,,,5,167.0,23.34
203024,Damiris Dantas,2,,32.0,16.0,,,2,32.0,8.64
203026,Tiffany Hayes,13,,316.0,24.307692,,,13,316.0,58.32
203035,Shey Peddy,8,,130.0,16.25,,,8,130.0,34.6
203398,Brittney Griner,5,,91.0,18.2,,,5,91.0,21.82
203399,Elena Delle Donne,2,,73.0,36.5,,,2,73.0,9.46
203400,Skylar Diggins,3,,97.0,32.333333,,,3,97.0,13.94
203400,Skylar Diggins-Smith,2,,72.0,36.0,,,2,72.0,9.44
203403,Tianna Hawkins,2,,29.0,14.5,,,2,29.0,8.58
203416,Emma Meesseman,3,,40.0,13.333333,,,3,40.0,12.8
203822,Rebekah Gardner,3,,15.0,5.0,,,3,15.0,12.3
203824,Odyssey Sims,13,,328.0,25.230769,,,13,328.0,58.56
203825,Kayla McBride,21,,737.0,35.095238,,,21,737.0,98.74
203826,Alyssa Thomas,25,,927.0,37.08,,,25,927.0,118.54
203827,Natasha Howard,13,,366.0,28.153846,,,13,366.0,59.32
203828,Stefanie Dolson,10,,46.0,4.6,,,10,46.0,40.92
203833,Chelsea Gray,26,,904.0,34.769231,,,26,904.0,122.08
203838,Astou Ndour-Fall,3,,3.0,1.0,,,3,3.0,12.06
203855,Stephanie Talbot,1,,9.0,9.0,,,1,9.0,4.18
203866,Kayla Thornton,21,,239.0,11.380952,,,21,239.0,88.78
204296,Rebecca Allen,6,,185.0,30.833333,,,6,185.0,27.7
204297,Cayla George,8,,48.0,6.0,,,8,48.0,32.96
204319,Jewell Loyd,14,,410.0,29.285714,,,14,410.0,64.2
204322,Elizabeth Williams,2,,66.0,33.0,,,2,66.0,9.32
204323,Cheyenne Parker,2,,67.0,33.5,,,2,67.0,9.34
204323,Cheyenne Parker-Tyus,6,,36.0,6.0,,,6,36.0,24.72
204329,Kiah Stokes,20,,276.0,13.8,,,20,276.0,85.52
204330,Isabelle Harrison,1,,7.0,7.0,,,1,7.0,4.14
204333,Natasha Cloud,7,,250.0,35.714286,,,7,250.0,33.0
204335,Betnijah Laney,10,,361.0,36.1,,,10,361.0,47.22
204335,Betnijah Laney-Hamilton,11,,300.0,27.272727,,,11,300.0,50.0
204365,Erica Wheeler,5,,109.0,21.8,,,5,109.0,22.18
