player_id,player_name,team_name,team_abbreviation,position_group,archetype_label,salary_tier_final,salary,expected_salary,effective_expected_salary,salary_gap,salary_gap_pct,production_score,salary_efficiency_score,scarcity_score,playoff_score,onoff_score,value_score,value_tier,undervalued_adj,overvalued_adj,hidden_value_flag_adj,league_rank_value_score,position_rank_value_score,sal_eff_quintile
1631086,Lexie Hull,Indiana Fever,IND,Guard,Scoring Guard,High/Mid Starter,765000.0,360000.0,360000.0,405000.0,1.125,55.84,0.0,50.36,59.82,50.0,41.48,Risk,False,True,False,115,46.0,Q1 (Worst)
1642815,Makayla Timpson,Indiana Fever,IND,,Rotation Forward,Minimum / Training Camp / Draftee Band,277500.0,277500.0,277500.0,0.0,0.0,54.86,50.0,45.32,52.88,50.0,51.77,Fair Value,False,False,False,49,,Q4
1628881,Monique Billings,Indiana Fever,IND,Forward,Usage Forward,High/Mid Starter,800000.0,450000.0,750000.0,50000.0,0.0666666666666666,49.5,46.67,45.32,49.1,50.0,48.34,Risk,False,False,False,70,20.0,Q3
1628899,Myisha Hines-Allen,Indiana Fever,IND,Forward,Connector Wing,Low Rotation / Rookie Scale,315000.0,300000.0,300000.0,15000.0,0.05,53.83,47.5,45.32,62.96,50.0,51.74,Fair Value,False,False,False,50,14.0,Q3
1629482,Sophie Cunningham,Indiana Fever,IND,Guard,Scoring Guard,High/Mid Starter,665000.0,360000.0,360000.0,305000.0,0.8472222222222222,49.25,7.64,50.36,27.04,50.0,37.27,Risk,False,True,False,126,48.0,Q1 (Worst)
1630112,Tyasha Harris,Indiana Fever,IND,Guard,Primary Creator,Mid-Tier Rotation,400000.0,330000.0,330000.0,70000.0,0.2121212121212121,54.8,39.39,50.36,63.6,50.0,50.87,Fair Value,False,False,False,54,22.0,Q2
1628932,A'ja Wilson,Las Vegas Aces,LVA,Center,Rim Protector,Max / Protected Veteran Top Tier,1400000.0,735000.0,735000.0,665000.0,0.9047619047619048,84.19,4.76,88.49,87.54,50.0,61.88,Fair Value,False,False,False,6,2.0,Q1 (Worst)
203833,Chelsea Gray,Las Vegas Aces,LVA,Guard,Primary Creator,Premium Starter,1000000.0,1190000.0,1190000.0,-190000.0,-0.1596638655462184,70.34,57.98,50.36,86.28,50.0,64.13,Fair Value,False,False,False,4,3.0,Q5 (Best)
1630389,Dana Evans,Las Vegas Aces,LVA,Guard,Scoring Guard,Low Rotation / Rookie Scale,380000.0,410000.0,410000.0,-30000.0,-0.073170731707317,47.99,53.66,50.36,71.16,50.0,52.19,Fair Value,False,False,False,47,20.0,Q5 (Best)
1629498,Jackie Young,Las Vegas Aces,LVA,Guard,Primary Creator,Max / Protected Veteran Top Tier,1190000.0,1190000.0,1190000.0,0.0,0.0,76.95,50.0,50.36,86.91,50.0,65.05,Strong Value,False,False,False,3,2.0,Q4
204319,Jewell Loyd,Las Vegas Aces,LVA,Guard,Scoring Guard,High/Mid Starter,800000.0,380000.0,380000.0,420000.0,1.105263157894737,62.95,0.0,50.36,72.42,50.0,45.72,Risk,False,False,False,80,35.0,Q1 (Worst)
1631019,NaLyssa Smith,Las Vegas Aces,LVA,Forward,Usage Forward,Mid-Tier Rotation,450000.0,375542.0,375542.0,74458.0,0.1982681031682208,49.44,40.09,45.32,71.78,50.0,49.0,Risk,False,False,False,67,19.0,Q2
203855,Stephanie Talbot,Las Vegas Aces,LVA,Forward,Connector Wing,Low Rotation / Rookie Scale,392500.0,300000.0,300000.0,92500.0,0.3083333333333333,33.61,34.58,45.32,18.84,50.0,35.74,Risk,False,True,False,128,33.0,Q1 (Worst)
1628878,Ariel Atkins,Los Angeles Sparks,LAS,Guard,Scoring Guard,Premium Starter,1085000.0,920000.0,920000.0,165000.0,0.1793478260869565,59.32,41.03,50.36,28.3,50.0,49.63,Risk,False,False,False,63,28.0,Q2
1642287,Cameron Brink,Los Angeles Sparks,LAS,Forward,Rebounding Forward,Mid-Tier Rotation,493851.0,339571.0,339571.0,154280.0,0.4543379735018597,44.63,27.28,45.32,50.04,50.0,41.73,Risk,False,True,False,113,29.0,Q1 (Worst)
204324,Dearica Hamby,Los Angeles Sparks,LAS,Forward,Connector Wing,Premium Starter,1100000.0,1000000.0,1000000.0,100000.0,0.1,64.77,45.0,45.32,50.04,50.0,54.45,Fair Value,False,False,False,36,7.0,Q2
204365,Erica Wheeler,Los Angeles Sparks,LAS,Guard,Scoring Guard,High/Mid Starter,625000.0,739566.5,739566.5,-114566.5,-0.1549103427480828,56.29,57.75,50.36,43.43,50.0,53.89,Fair Value,False,False,False,41,17.0,Q5 (Best)
1628276,Kelsey Plum,Los Angeles Sparks,LAS,Guard,Primary Creator,Premium Starter,999999.0,925000.0,925000.0,74999.0,0.08108,57.54,45.95,50.36,76.2,50.0,54.86,Fair Value,False,False,False,32,14.0,Q3
203014,Nneka Ogwumike,Los Angeles Sparks,LAS,Forward,Usage Forward,Premium Starter,950000.0,1000000.0,1000000.0,-50000.0,-0.05,59.07,52.5,45.32,45.95,50.0,53.44,Fair Value,False,False,False,43,12.0,Q5 (Best)
1642790,Sania Feagin,Los Angeles Sparks,LAS,Forward,Usage Forward,Minimum / Training Camp / Draftee Band,277500.0,277500.0,277500.0,0.0,0.0,30.18,50.0,45.32,50.04,50.0,41.12,Risk,False,True,False,117,31.0,Q4
1642797,Anastasiia Olairi Kosu,Minnesota Lynx,MIN,Forward,Usage Forward,Minimum / Training Camp / Draftee Band,277500.0,300000.0,300000.0,-22500.0,-0.075,33.94,53.75,45.32,30.19,50.0,41.61,Risk,False,True,False,114,30.0,Q5 (Best)
1627675,Courtney Williams,Minnesota Lynx,MIN,Guard,Primary Creator,Max / Protected Veteran Top Tier,1190000.0,999999.0,999999.0,190001.0,0.19000119000119,66.62,40.5,50.36,79.35,50.0,57.68,Fair Value,False,False,False,21,9.0,Q2
player:dorka_juhasz__minnesota_lynx,Dorka Juhasz,Minnesota Lynx,MIN,,Rotation Forward,Low Rotation / Rookie Scale,318910.0,293510.0,293510.0,25400.0,0.0865387891383598,50.2,45.67,0.0,50.04,50.0,43.05,Risk,False,True,False,104,,Q2
203825,Kayla McBride,Minnesota Lynx,MIN,Guard,Scoring Guard,Max / Protected Veteran Top Tier,1190000.0,1190000.0,1190000.0,0.0,0.0,57.04,50.0,50.36,81.87,50.0,56.19,Fair Value,False,False,False,25,10.0,Q4
player:lani_white__minnesota_lynx,Lani White,Minnesota Lynx,MIN,,Rotation Forward,Minimum / Training Camp / Draftee Band,270000.0,270000.0,270000.0,0.0,0.0,50.2,50.0,0.0,50.04,50.0,44.09,Risk,False,False,False,90,,Q4
1629483,Napheesa Collier,Minnesota Lynx,MIN,Forward,Connector Wing,Max / Protected Veteran Top Tier,1400000.0,1100000.0,1100000.0,300000.0,0.2727272727272727,73.69,36.36,45.32,80.61,50.0,59.18,Fair Value,False,False,False,14,3.0,Q1 (Worst)
203827,Natasha Howard,Minnesota Lynx,MIN,Forward,Rebounding Forward,High/Mid Starter,700000.0,1000000.0,1000000.0,-300000.0,-0.3,59.35,65.0,45.32,69.26,50.0,58.89,Fair Value,True,False,False,17,5.0,Q5 (Best)
1628269,Nia Coffey,Minnesota Lynx,MIN,Forward,Connector Wing,Low Rotation / Rookie Scale,350000.0,300000.0,300000.0,50000.0,0.1666666666666666,52.33,41.67,45.32,40.27,50.0,47.44,Risk,False,False,False,75,21.0,Q2
player:olivia_miles__minnesota_lynx,Olivia Miles,Minnesota Lynx,MIN,,Rotation Forward,Mid-Tier Rotation,466913.0,436016.0,436016.0,30897.0,0.0708620784558364,50.2,46.46,0.0,50.04,50.0,43.24,Risk,False,True,False,99,,Q3
204335,Betnijah Laney-Hamilton,New York Liberty,NYL,,Rotation Forward,Mid-Tier Rotation,400000.0,380219.0,380219.0,19781.0,0.0520252801674824,76.68,47.4,0.0,62.34,50.0,55.82,Fair Value,False,False,False,27,,Q3
1627668,Breanna Stewart,New York Liberty,NYL,Forward,Connector Wing,Max / Protected Veteran Top Tier,1190000.0,1190000.0,1190000.0,0.0,0.0,68.12,50.0,45.32,84.39,50.0,60.49,Fair Value,False,False,False,8,1.0,Q4
1627673,Jonquel Jones,New York Liberty,NYL,Center,Rim Protector,Max / Protected Veteran Top Tier,1190000.0,735000.0,1190000.0,0.0,0.0,70.27,50.0,88.49,83.13,50.0,66.45,Strong Value,False,False,False,1,1.0,Q4
1630142,Leonie Fiebich,New York Liberty,NYL,Forward,Usage Forward,Minimum / Training Camp / Draftee Band,293510.0,277500.0,277500.0,16010.0,0.0576936936936937,57.2,47.12,45.32,73.04,50.0,54.08,Fair Value,False,False,False,40,10.0,Q3
204296,Rebecca Allen,New York Liberty,NYL,,Rotation Forward,Low Rotation / Rookie Scale,350000.0,277500.0,277500.0,72500.0,0.2612612612612612,42.6,36.94,45.32,49.73,50.0,43.17,Risk,False,True,False,103,,Q2
1629477,Sabrina Ionescu,New York Liberty,NYL,Guard,Primary Creator,Max / Protected Veteran Top Tier,1190000.0,1000000.0,1000000.0,190000.0,0.19,68.66,40.5,50.36,83.76,50.0,58.98,Fair Value,False,False,False,16,7.0,Q2
1630149,Satou Sabally,New York Liberty,NYL,Forward,Usage Forward,High/Mid Starter,815000.0,750000.0,750000.0,65000.0,0.0866666666666666,57.95,45.67,45.32,74.94,50.0,54.23,Fair Value,False,False,False,38,8.0,Q2
203826,Alyssa Thomas,Phoenix Mercury,PHX,Forward,Connector Wing,Max / Protected Veteran Top Tier,1200000.0,1100000.0,1100000.0,100000.0,0.0909090909090909,67.24,45.45,45.32,85.65,50.0,59.15,Fair Value,False,False,False,15,4.0,Q2
201886,DeWanna Bonner,Phoenix Mercury,PHX,,Rotation Forward,Mid-Tier Rotation,500000.0,450000.0,450000.0,50000.0,0.1111111111111111,48.43,44.44,45.32,85.02,50.0,50.95,Fair Value,False,False,False,53,,Q2
1627674,Kahleah Copper,Phoenix Mercury,PHX,,Rotation Forward,Max / Protected Veteran Top Tier,1200000.0,650000.0,650000.0,550000.0,0.8461538461538461,56.15,7.69,45.32,75.56,50.0,44.42,Risk,False,False,False,88,,Q1 (Worst)
1642777,Monique Akoa Makani,Phoenix Mercury,PHX,Guard,Scoring Guard,Low Rotation / Rookie Scale,300000.0,277500.0,277500.0,22500.0,0.081081081081081,50.71,45.95,50.36,61.7,50.0,50.54,Fair Value,False,False,False,57,24.0,Q3
1630442,Natasha Mack,Phoenix Mercury,PHX,,Rotation Forward,Low Rotation / Rookie Scale,303600.0,471925.5,471925.5,-168325.5,-0.3566781197455954,52.4,67.83,45.32,66.12,50.0,56.34,Fair Value,True,False,False,24,,Q5 (Best)
1628244,Sami Whitcomb,Phoenix Mercury,PHX,Guard,Scoring Guard,High/Mid Starter,735000.0,425000.0,425000.0,310000.0,0.7294117647058823,55.25,13.53,50.36,64.22,50.0,44.92,Risk,False,False,False,87,39.0,Q1 (Worst)
player:val_riane_ayayi__phoenix_mercury,Valériane Ayayi,Phoenix Mercury,PHX,,Rotation Forward,Mid-Tier Rotation,500000.0,436016.0,436016.0,63984.0,0.146746908370335,50.2,42.66,0.0,50.04,50.0,42.33,Risk,False,True,False,106,,Q2
