player_name,team_name,team_abbreviation,salary_efficiency_score,value_score,value_tier,salary,salary_tier_final,rank,team_grade
Dorka Juhasz,Minnesota Lynx,MIN,45.67,43.05,Risk,318910.0,Low Rotation / Rookie Scale,12,D
Kayla McBride,Minnesota Lynx,MIN,50.0,56.19,Fair Value,1190000.0,Max / Protected Veteran Top Tier,12,D
Lani White,Minnesota Lynx,MIN,50.0,44.09,Risk,270000.0,Minimum / Training Camp / Draftee Band,12,D
Napheesa Collier,Minnesota Lynx,MIN,36.36,59.18,Fair Value,1400000.0,Max / Protected Veteran Top Tier,12,D
Natasha Howard,Minnesota Lynx,MIN,65.0,58.89,Fair Value,700000.0,High/Mid Starter,12,D
Nia Coffey,Minnesota Lynx,MIN,41.67,47.44,Risk,350000.0,Low Rotation / Rookie Scale,12,D
Olivia Miles,Minnesota Lynx,MIN,46.46,43.24,Risk,466913.0,Mid-Tier Rotation,12,D
Betnijah Laney-Hamilton,New York Liberty,NYL,47.4,55.82,Fair Value,400000.0,Mid-Tier Rotation,1,A
Breanna Stewart,New York Liberty,NYL,50.0,60.49,Fair Value,1190000.0,Max / Protected Veteran Top Tier,1,A
Jonquel Jones,New York Liberty,NYL,50.0,66.45,Strong Value,1190000.0,Max / Protected Veteran Top Tier,1,A
Leonie Fiebich,New York Liberty,NYL,47.12,54.08,Fair Value,293510.0,Minimum / Training Camp / Draftee Band,1,A
Rebecca Allen,New York Liberty,NYL,36.94,43.17,Risk,350000.0,Low Rotation / Rookie Scale,1,A
Sabrina Ionescu,New York Liberty,NYL,40.5,58.98,Fair Value,1190000.0,Max / Protected Veteran Top Tier,1,A
Satou Sabally,New York Liberty,NYL,45.67,54.23,Fair Value,815000.0,High/Mid Starter,1,A
Alyssa Thomas,Phoenix Mercury,PHX,45.45,59.15,Fair Value,1200000.0,Max / Protected Veteran Top Tier,6,B
DeWanna Bonner,Phoenix Mercury,PHX,44.44,50.95,Fair Value,500000.0,Mid-Tier Rotation,6,B
Kahleah Copper,Phoenix Mercury,PHX,7.69,44.42,Risk,1200000.0,Max / Protected Veteran Top Tier,6,B
Monique Akoa Makani,Phoenix Mercury,PHX,45.95,50.54,Fair Value,300000.0,Low Rotation / Rookie Scale,6,B
Natasha Mack,Phoenix Mercury,PHX,67.83,56.34,Fair Value,303600.0,Low Rotation / Rookie Scale,6,B
Sami Whitcomb,Phoenix Mercury,PHX,13.53,44.92,Risk,735000.0,High/Mid Starter,6,B
Valériane Ayayi,Phoenix Mercury,PHX,42.66,42.33,Risk,500000.0,Mid-Tier Rotation,6,B
Bridget Carleton,Portland Fire,POR,37.37,51.3,Fair Value,1190000.0,Max / Protected Veteran Top Tier,14,F
Carla Leite,Portland Fire,POR,72.46,47.78,Risk,289133.0,Minimum / Training Camp / Draftee Band,14,F
Haley Jones,Portland Fire,POR,45.95,47.9,Risk,300000.0,Low Rotation / Rookie Scale,14,F
Karlie Samuelson,Portland Fire,POR,37.74,42.08,Risk,360000.0,Low Rotation / Rookie Scale,14,F
Luisa Geiselsöder,Portland Fire,POR,41.44,47.23,Risk,325000.0,Low Rotation / Rookie Scale,14,F
Megan Gustafson,Portland Fire,POR,42.79,47.44,Risk,500000.0,Mid-Tier Rotation,14,F
Nika Muhl,Portland Fire,POR,49.24,43.91,Risk,293510.0,Minimum / Training Camp / Draftee Band,14,F
Nyadiew Puoch,Portland Fire,POR,50.0,44.09,Risk,289133.0,Minimum / Training Camp / Draftee Band,14,F
Sarah Ashlee Barker,Portland Fire,POR,47.9,43.68,Risk,289133.0,Minimum / Training Camp / Draftee Band,14,F
Sug Sutton,Portland Fire,POR,23.42,41.76,Risk,425000.0,Mid-Tier Rotation,14,F
Awa Fam,Seattle Storm,SEA,46.46,43.24,Risk,436016.0,Mid-Tier Rotation,15,F
Dominique Malonga,Seattle Storm,SEA,60.97,58.6,Fair Value,466913.0,Mid-Tier Rotation,15,F
Ezi Magbegor,Seattle Storm,SEA,21.88,41.76,Risk,1250000.0,Max / Protected Veteran Top Tier,15,F
Jade Melbourne,Seattle Storm,SEA,34.21,43.6,Risk,500000.0,Mid-Tier Rotation,15,F
Jaelyn Brown,Seattle Storm,SEA,50.0,40.37,Risk,277500.0,Minimum / Training Camp / Draftee Band,15,F
Jordan Horston,Seattle Storm,SEA,47.9,42.11,Risk,332278.0,Low Rotation / Rookie Scale,15,F
Katie Lou Samuelson,Seattle Storm,SEA,50.19,32.41,Overvalued,420000.0,Mid-Tier Rotation,15,F
Natisha Hiedeman,Seattle Storm,SEA,62.5,63.9,Fair Value,750000.0,High/Mid Starter,15,F
Stefanie Dolson,Seattle Storm,SEA,16.67,45.69,Risk,750000.0,High/Mid Starter,15,F
Aaliyah Nye,Toronto Tempo,TOR,50.0,41.47,Risk,277500.0,Minimum / Training Camp / Draftee Band,7,C
Brittney Sykes,Toronto Tempo,TOR,45.91,49.66,Risk,1190000.0,Max / Protected Veteran Top Tier,7,C
Isabelle Harrison,Toronto Tempo,TOR,27.93,39.48,Risk,400000.0,Mid-Tier Rotation,7,C
Julie Allemand,Toronto Tempo,TOR,35.61,50.62,Fair Value,425000.0,Mid-Tier Rotation,7,C
Lexi Held,Toronto Tempo,TOR,50.0,44.3,Risk,277500.0,Minimum / Training Camp / Draftee Band,7,C
