pick_number,expansion_team,player_id,player_name,previous_team,position_group,age_2026,years_service,salary_2026,protected_status,archetype,selection_signal
21,Chicago Sky,draft:latasha_lattimore,Latasha Lattimore,Chicago Sky,,,1,270000.0,drafted_no_signing_in_current_feed,,The Chicago Sky drafted Latasha Lattimore in the 2nd round (21st pick) of the 2026 WNBA Draft.
22,Toronto Tempo,draft:teonni_key,Teonni Key,Toronto Tempo,,,1,270000.0,signed_in_feed_not_final_preseason,,The Toronto Tempo drafted Teonni Key in the 2nd round (22nd pick) of the 2026 WNBA Draft.
23,Golden State Valkyries,draft:ashlon_jackson,Ashlon Jackson,Golden State Valkyries,,,1,270000.0,drafted_no_signing_in_current_feed,,The Golden State Valkyries drafted Ashlon Jackson in the 2nd round (23rd pick) of the 2026 WNBA Draft.
24,Los Angeles Sparks,draft:chance_gray,Chance Gray,Los Angeles Sparks,,,1,270000.0,drafted_no_signing_in_current_feed,,The Los Angeles Sparks drafted Chance Gray in the 2nd round (24th pick) of the 2026 WNBA Draft.
25,Indiana Fever,draft:justine_pissott,Justine Pissott,Indiana Fever,,,1,,drafted_no_signing_in_current_feed,,The Indiana Fever drafted Justine Pissott in the 2nd round (25th pick) of the 2026 WNBA Draft.
26,Toronto Tempo,draft:saffron_shiels,Saffron Shiels,Toronto Tempo,,,1,,drafted_no_signing_in_current_feed,,The Toronto Tempo drafted Saffron Shiels in the 2nd round (26th pick) of the 2026 WNBA Draft.
27,Phoenix Mercury,draft:in_s_pitarch-granel,Inès Pitarch-Granel,Phoenix Mercury,,,1,,drafted_no_signing_in_current_feed,,The Phoenix Mercury drafted Inès Pitarch-Granel in the 2nd round (27th pick) of the 2026 WNBA Draft.
28,Atlanta Dream,draft:indya_nivar,Indya Nivar,Atlanta Dream,,,1,270000.0,drafted_no_signing_in_current_feed,,The Atlanta Dream drafted Indya Nivar in the 2nd round (28th pick) of the 2026 WNBA Draft.
29,Las Vegas Aces,draft:janiah_barker,Janiah Barker,Las Vegas Aces,,,1,270000.0,drafted_no_signing_in_current_feed,,The Las Vegas Aces drafted Janiah Barker in the 2nd round (29th pick) of the 2026 WNBA Draft.
30,Washington Mystics,draft:darianna_littlepage-buggs,Darianna Littlepage-Buggs,Washington Mystics,,,1,,drafted_no_signing_in_current_feed,,The Washington Mystics drafted Darianna Littlepage-Buggs in the 2nd round (30th pick) of the 2026 WNBA Draft.
31,Dallas Wings,draft:zee_spearman,Zee Spearman,Dallas Wings,,,1,,signed_in_feed_not_final_preseason,,The Dallas Wings drafted Zee Spearman in the 3rd round (31st pick) of the 2026 WNBA Draft.
32,Chicago Sky,draft:tonie_morgan,Tonie Morgan,Chicago Sky,,,1,270000.0,signed_in_feed_not_final_preseason,,The Chicago Sky drafted Tonie Morgan in the 3rd round (32nd pick) of the 2026 WNBA Draft.
33,Connecticut Sun,draft:serah_williams,Serah Williams,Portland Fire,,,1,270000.0,traded_in_feed_no_signing_found,,The Connecticut Sun drafted Serah Williams in the 3rd round (33rd pick) of the 2026 WNBA Draft.
34,Washington Mystics,draft:rori_harmon,Rori Harmon,Washington Mystics,,,1,270000.0,signed_in_feed_not_final_preseason,,The Washington Mystics drafted Rori Harmon in the 3rd round (34th pick) of the 2026 WNBA Draft.
35,Los Angeles Sparks,draft:amelia_hassett,Amelia Hassett,Los Angeles Sparks,,,1,,drafted_no_signing_in_current_feed,,The Los Angeles Sparks drafted Amelia Hassett in the 3rd round (35th pick) of the 2026 WNBA Draft.
36,Toronto Tempo,draft:charlise_dunn,Charlise Dunn,Toronto Tempo,,,1,,drafted_no_signing_in_current_feed,,The Toronto Tempo drafted Charlise Dunn in the 3rd round (36th pick) of the 2026 WNBA Draft.
37,Portland Fire,draft:taylor_bigby,Taylor Bigby,Connecticut Sun,,,1,270000.0,traded_in_feed_no_signing_found,,The Portland Fire drafted Taylor Bigby in the 3rd round (37th pick) of the 2026 WNBA Draft.
38,Golden State Valkyries,draft:kokoro_tanaka,Kokoro Tanaka,Golden State Valkyries,,,1,,drafted_no_signing_in_current_feed,,The Golden State Valkyries drafted Kokoro Tanaka in the 3rd round (38th pick) of the 2026 WNBA Draft.
39,Seattle Storm,draft:grace_vanslooten,Grace VanSlooten,Seattle Storm,,,1,270000.0,drafted_no_signing_in_current_feed,,The Seattle Storm drafted Grace VanSlooten in the 3rd round (39th pick) of the 2026 WNBA Draft.
40,Indiana Fever,draft:jessica_timmons,Jessica Timmons,Indiana Fever,,,1,270000.0,drafted_no_signing_in_current_feed,,The Indiana Fever drafted Jessica Timmons in the 3rd round (40th pick) of the 2026 WNBA Draft.
41,New York Liberty,draft:manuela_puoch,Manuela Puoch,New York Liberty,,,1,,drafted_no_signing_in_current_feed,,The New York Liberty drafted Manuela Puoch in the 3rd round (41st pick) of the 2026 WNBA Draft.
42,Phoenix Mercury,draft:eszter_ratkai,Eszter Ratkai,Phoenix Mercury,,,1,,drafted_no_signing_in_current_feed,,The Phoenix Mercury drafted Eszter Ratkai in the 3rd round (42nd pick) of the 2026 WNBA Draft.
43,Atlanta Dream,draft:kejia_ran,Kejia Ran,Atlanta Dream,,,1,,drafted_no_signing_in_current_feed,,The Atlanta Dream drafted Kejia Ran in the 3rd round (43rd pick) of the 2026 WNBA Draft.
44,Las Vegas Aces,draft:jordan_obi,Jordan Obi,Las Vegas Aces,,,1,270000.0,drafted_no_signing_in_current_feed,,The Las Vegas Aces drafted Jordan Obi in the 3rd round (44th pick) of the 2026 WNBA Draft.
45,Minnesota Lynx,draft:lani_white,Lani White,Minnesota Lynx,,,1,270000.0,drafted_no_signing_in_current_feed,,The Minnesota Lynx drafted Lani White in the 3rd round (45th pick) of the 2026 WNBA Draft.
